	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	Outlier	Paralog1	Paralog2	WeightOutliersExcluded	WeightOutliersIncluded
AT1G01380__AT5G53200	0.67769	0.60569	363.0	246.0	0.75479	GF_000667	0.2935	49.3518	12.0	0.0059	True	AT5G53200	AT1G01380	0.0	0.08333
AT1G14048__AT2G03230	0.37643000000000004	0.48485	789.0	297.0	2.37141	GF_000646	0.9077	5.0669	12.0	0.1791	True	AT1G14048	AT2G03230	0.0	0.08333
AT3G02610__AT5G16230	0.9434	0.80917	1272.0	1200.0	0.19143	GF_000640	0.0732	0.9242	8.0	0.0793	False	AT5G16230	AT3G02610	0.5	0.5
AT4G26480__AT5G56140	0.36278	0.86364	2547.0	924.0	0.09501	GF_000643	0.0456	0.5858	7.0	0.0779	False	AT4G26480	AT5G56140	1.0	1.0
AT2G38610__AT3G08620	0.33216	0.75059	2547.0	846.0	0.1983	GF_000643	0.1073	1.6616	8.0	0.0646	False	AT2G38610	AT3G08620	1.0	1.0
AT2G21190__AT4G38790	0.9607100000000001	0.85626	840.0	807.0	0.11	GF_000651	0.0469	0.5862	8.0	0.08	False	AT4G38790	AT2G21190	1.0	1.0
AT1G19970__AT1G75760	0.9714299999999999	0.8284299999999999	840.0	816.0	0.15800999999999998	GF_000651	0.0573	0.6188	9.0	0.0926	False	AT1G75760	AT1G19970	1.0	1.0
AT1G30900__AT2G34940	0.9376	0.78842	1971.0	1848.0	0.33718000000000004	GF_000716	0.1391	0.8422	7.0	0.1652	False	AT1G30900	AT2G34940	1.0	1.0
AT1G30900__AT2G34940	0.9376	0.78842	1971.0	1848.0	0.33718000000000004	GF_000716	0.1391	0.8422	7.0	0.1652	False	AT1G30900	AT2G34940	1.0	1.0
AT1G30900__AT4G20110	0.94825	0.70305	1971.0	1869.0	0.44246	GF_000716	0.1835	2.1864	8.0	0.0839	False	AT4G20110	AT1G30900	0.5	0.5
AT2G34940__AT4G20110	0.9376	0.6915600000000001	1971.0	1848.0	0.58378	GF_000716	0.2365	1.6005	8.0	0.1478	False	AT4G20110	AT2G34940	0.5	0.5
AT2G21240__AT4G38910	0.77112	0.78563	1101.0	849.0	0.32049	GF_000639	0.1128	0.7695	7.0	0.1466	False	AT2G21240	AT4G38910	1.0	1.0
AT1G68120__AT2G01930	0.6812	0.6026699999999999	1101.0	750.0	0.88528	GF_000639	0.3079	3.821	11.0	0.0806	False	AT2G01930	AT1G68120	0.5	0.5
AT1G14685__AT2G01930	0.74659	0.72141	1101.0	822.0	0.37106999999999996	GF_000639	0.1642	1.8049	11.0	0.0909	False	AT2G01930	AT1G14685	0.5	0.5
AT1G05200__AT2G32390	0.8981899999999999	0.76132	2976.0	2673.0	0.36827	GF_000682	0.1754	0.7138	7.0	0.2457	False	AT1G05200	AT2G32390	1.0	1.0
AT2G17260__AT4G35290	0.9143100000000001	0.79897	2976.0	2721.0	0.25948000000000004	GF_000682	0.1226	0.7881	8.0	0.1556	False	AT4G35290	AT2G17260	1.0	1.0
AT3G51480__AT4G35290	0.90323	0.57217	2976.0	2688.0	0.93815	GF_000682	0.402	4.4101	10.0	0.0912	True	AT4G35290	AT3G51480	0.0	0.25
AT1G23870__AT1G70290	0.95852	0.8046800000000001	2676.0	2565.0	0.18477000000000002	GF_000695	0.0793	1.1147	7.0	0.0712	False	AT1G23870	AT1G70290	1.0	1.0
AT2G24390__AT4G31310	0.8628600000000001	0.66004	525.0	453.0	0.73848	GF_000677	0.3567	1.8224	7.0	0.1957	False	AT2G24390	AT4G31310	1.0	1.0
AT1G10930__AT1G60930	0.83395	0.79081	4047.0	3375.0	0.34497	GF_000649	0.053	0.5924	7.0	0.0895	False	AT1G10930	AT1G60930	1.0	1.0
AT1G18910__AT1G74770	0.88689	0.7831	4164.0	3693.0	0.36427	GF_000701	0.0693	0.7781	7.0	0.0891	False	AT1G74770	AT1G18910	1.0	1.0
AT4G02340__AT4G15955	0.74112	0.60502	1182.0	876.0	0.81247	GF_000653	0.3114	4.4110000000000005	10.0	0.0706	True	AT4G02340	AT4G15955	0.0	0.25
AT1G12880__AT3G26690	0.79365	0.78833	756.0	600.0	0.34857	GF_000719	0.1104	0.6145	7.0	0.1796	False	AT1G12880	AT3G26690	1.0	1.0
AT1G18300__AT1G73540	0.75794	0.77836	756.0	573.0	0.31179	GF_000719	0.1165	0.9385	10.0	0.1242	False	AT1G18300	AT1G73540	1.0	1.0
AT1G53240__AT3G15020	0.775	0.8396899999999999	1320.0	1023.0	0.11655	GF_000654	0.0302	0.9021	8.0	0.0335	False	AT3G15020	AT1G53240	1.0	1.0
AT2G42200__AT3G57920	0.60926	0.67984	1620.0	987.0	0.6475	GF_000679	0.259	1.0316	7.0	0.251	False	AT2G42200	AT3G57920	1.0	1.0
AT1G17380__AT1G72450	0.76061	0.66003	990.0	753.0	0.67676	GF_000663	0.2574	1.5224	9.0	0.1691	False	AT1G17380	AT1G72450	1.0	1.0
AT1G19180__AT1G72450	0.69091	0.44591000000000003	990.0	684.0	1.8497299999999999	GF_000663	0.5287	2.5601	10.0	0.2065	False	AT1G19180	AT1G72450	0.25	0.25
AT3G01600__AT5G14490	0.62454	0.72239	1638.0	1023.0	0.55628	GF_000668	0.1961	0.7683	7.0	0.2552	False	AT5G14490	AT3G01600	1.0	1.0
AT4G29230__AT5G56620	0.68315	0.57105	1638.0	1119.0	0.9511700000000001	GF_000668	0.2766	5.6098	9.0	0.0493	True	AT5G56620	AT4G29230	0.0	1.0
AT2G37250__AT2G39270	0.46003	0.62293	1839.0	846.0	0.50543	GF_000673	0.2325	2.8806	11.0	0.0807	True	AT2G39270	AT2G37250	0.0	0.5
AT2G37250__AT2G39270	0.46003	0.62293	1839.0	846.0	0.50543	GF_000673	0.2325	2.8806	11.0	0.0807	True	AT2G39270	AT2G37250	0.0	0.5
AT3G01820__AT5G63400	0.34258	0.38095	1839.0	630.0	2.68365	GF_000673	1.0922	24.058000000000003	12.0	0.0454	True	AT5G63400	AT3G01820	0.0	0.08333
AT3G01820__AT5G63400	0.34258	0.38095	1839.0	630.0	2.68365	GF_000673	1.0922	24.058000000000003	12.0	0.0454	True	AT5G63400	AT3G01820	0.0	0.08333
AT3G22810__AT4G14740	0.85036	0.79542	1644.0	1398.0	0.21746999999999997	GF_000675	0.0029	2.8994	7.0	0.001	False	AT3G22810	AT4G14740	1.0	1.0
AT3G22810__AT5G43870	0.80474	0.6863199999999999	1644.0	1323.0	0.49277	GF_000675	0.1848	28.0854	8.0	0.0066	True	AT5G43870	AT3G22810	0.0	0.5
AT3G22810__AT3G63300	0.84854	0.61147	1644.0	1395.0	0.64937	GF_000675	0.0039	3.8528	9.0	0.001	True	AT3G63300	AT3G22810	0.0	0.33333
AT3G08940__AT5G01530	0.80618	0.80256	1068.0	861.0	0.14104	GF_000671	0.0826	0.9144	7.0	0.0903	False	AT3G08940	AT5G01530	1.0	1.0
AT1G51070__AT5G54680	0.49668999999999996	0.6903699999999999	1359.0	675.0	0.52693	GF_000702	0.1759	1.3871	7.0	0.1268	False	AT5G54680	AT1G51070	1.0	1.0
AT3G23210__AT4G14410	0.60265	0.72039	1359.0	819.0	0.5070399999999999	GF_000702	0.1488	0.9459	8.0	0.1573	False	AT4G14410	AT3G23210	1.0	1.0
AT3G11230__AT3G55890	0.74233	0.69697	489.0	363.0	0.50648	GF_000725	0.2059	3.3008	8.0	0.0624	False	AT3G55890	AT3G11230	1.0	1.0
AT2G40110__AT3G55890	0.74233	0.7989	489.0	363.0	0.39193	GF_000725	0.1479	0.7964	9.0	0.1857	False	AT2G40110	AT3G55890	0.5	0.5
AT2G40110__AT3G11230	0.7914100000000001	0.72868	489.0	387.0	0.41197	GF_000725	0.1727	3.1112	9.0	0.0555	False	AT2G40110	AT3G11230	0.5	0.5
AT1G21160__AT1G76720	0.76327	0.75717	4068.0	3105.0	0.48936999999999997	GF_000676	0.14	0.5424	11.0	0.2582	False	AT1G21160	AT1G76720	0.25	0.25
AT1G15970__AT1G80850	0.85526	0.7487199999999999	1140.0	975.0	0.41722	GF_000698	0.1832	0.7935	9.0	0.2308	False	AT1G80850	AT1G15970	1.0	1.0
AT4G17470__AT5G47330	0.85634	0.66996	1065.0	912.0	0.75942	GF_000704	0.2578	1.2221	11.0	0.21100000000000002	False	AT5G47330	AT4G17470	0.11110999999999999	0.11110999999999999
AT1G69700__AT1G74520	0.8082199999999999	0.62147	657.0	531.0	0.78592	GF_000686	0.2187	4.7314	9.0	0.0462	False	AT1G69700	AT1G74520	0.5	0.5
AT3G05940__AT5G26740	0.80962	0.84006	1560.0	1263.0	0.16194	GF_000685	0.0559	0.6055	7.0	0.0923	False	AT3G05940	AT5G26740	1.0	1.0
AT1G11200__AT4G21570	0.56538	0.72222	1560.0	882.0	0.43814	GF_000685	0.21600000000000003	1.4107	8.0	0.1531	False	AT4G21570	AT1G11200	1.0	1.0
AT3G27190__AT5G40870	0.92885	0.8488600000000001	1560.0	1449.0	0.12319000000000001	GF_000697	0.0377	0.5811	7.0	0.0649	False	AT3G27190	AT5G40870	1.0	1.0
AT2G47160__AT3G62270	0.8925799999999999	0.8567299999999999	2346.0	2094.0	0.09562999999999999	GF_000693	0.0388	0.6538	7.0	0.0594	False	AT2G47160	AT3G62270	1.0	1.0
AT2G47160__AT3G06450	0.8951399999999999	0.69	2346.0	2100.0	0.4443	GF_000693	0.1705	2.1283	8.0	0.0801	False	AT3G06450	AT2G47160	0.5	0.5
AT1G15460__AT4G32510	0.84655	0.6450199999999999	2346.0	1986.0	0.5693600000000001	GF_000693	0.247	3.7636	11.0	0.0656	False	AT1G15460	AT4G32510	0.25	0.25
AT1G08040__AT2G28310	0.88995	0.84946	1254.0	1116.0	0.16459000000000001	GF_000709	0.0733	0.7235	7.0	0.1014	False	AT1G08040	AT2G28310	1.0	1.0
AT1G24570__AT1G67850	0.90191	0.75685	1254.0	1131.0	0.46412	GF_000709	0.1914	0.8331	8.0	0.2297	False	AT1G24570	AT1G67850	1.0	1.0
AT1G13000__AT3G26440	0.9354100000000001	0.77323	1254.0	1173.0	0.31581	GF_000709	0.1267	0.8170000000000001	10.0	0.1551	False	AT1G13000	AT3G26440	1.0	1.0
AT1G13000__AT1G24570	0.88756	0.6478	1254.0	1113.0	0.81885	GF_000709	0.2949	1.8768	12.0	0.1572	True	AT1G24570	AT1G13000	0.0	0.08333
AT1G02750__AT4G02200	0.78327	0.65858	789.0	618.0	0.76351	GF_000692	0.3451	1.3785	7.0	0.2504	False	AT4G02200	AT1G02750	1.0	1.0
AT3G06760__AT5G49230	0.77567	0.75817	789.0	612.0	0.35593	GF_000692	0.1709	1.2174	8.0	0.1404	False	AT3G06760	AT5G49230	1.0	1.0
AT3G05700__AT5G26990	0.84411	0.7852899999999999	789.0	666.0	0.28865999999999997	GF_000692	0.1375	0.6894	9.0	0.1995	False	AT5G26990	AT3G05700	1.0	1.0
AT3G05700__AT3G06760	0.79087	0.56731	789.0	624.0	0.97482	GF_000692	0.3969	3.7605	11.0	0.1055	True	AT3G06760	AT3G05700	0.0	0.16667
AT3G05430__AT5G27650	0.7440899999999999	0.69982	3810.0	2835.0	0.6170800000000001	GF_000731	0.3366	0.7207	7.0	0.4671	False	AT3G05430	AT5G27650	1.0	1.0
AT3G09670__AT5G02950	0.42991999999999997	0.57998	3810.0	1638.0	1.0855700000000001	GF_000731	0.5476	1.3814	9.0	0.3964	False	AT5G02950	AT3G09670	1.0	1.0
AT2G20950__AT4G38550	0.62312	0.69355	2388.0	1488.0	0.53072	GF_000706	0.1901	1.4096	8.0	0.1349	False	AT4G38550	AT2G20950	1.0	1.0
AT4G35110__AT4G38550	0.44347	0.43626000000000004	2388.0	1059.0	2.0432900000000003	GF_000706	0.6845	8.145	12.0	0.084	True	AT4G35110	AT4G38550	0.0	0.1
AT3G01590__AT5G14500	0.88184	0.84314	1041.0	918.0	0.15442	GF_000699	0.07200000000000001	0.6376	7.0	0.1129	False	AT5G14500	AT3G01590	1.0	1.0
AT4G25900__AT5G57330	0.85014	0.7367199999999999	1041.0	885.0	0.52273	GF_000699	0.2371	0.7436	8.0	0.3188	False	AT4G25900	AT5G57330	1.0	1.0
AT2G40770__AT5G05130	0.33891	0.38347	7356.0	2493.0	2.1955299999999998	GF_000689	0.9611	66.9041	11.0	0.0144	True	AT2G40770	AT5G05130	0.0	0.2
AT2G17660__AT4G35655	0.47222	0.78922	432.0	204.0	0.21043	GF_000718	0.1134	1.4072	8.0	0.0806	False	AT4G35655	AT2G17660	1.0	1.0
AT3G48450__AT5G63270	0.55556	0.7416699999999999	432.0	240.0	0.47243	GF_000718	0.2155	1.081	9.0	0.1993	False	AT5G63270	AT3G48450	1.0	1.0
AT5G40645__AT5G63270	0.45833	0.64141	432.0	198.0	0.67573	GF_000718	0.293	10.537	11.0	0.0278	True	AT5G40645	AT5G63270	0.0	0.25
AT4G26270__AT5G56630	0.82594	0.83747	1758.0	1452.0	0.12429000000000001	GF_000710	0.0443	0.7947	7.0	0.0557	False	AT5G56630	AT4G26270	1.0	1.0
AT4G29220__AT5G56630	0.80205	0.74965	1758.0	1410.0	0.31099	GF_000710	0.1017	1.6104	8.0	0.0631	False	AT4G29220	AT5G56630	0.5	0.5
AT2G22840__AT4G37740	0.74885	0.6632600000000001	1959.0	1467.0	0.56862	GF_000730	0.2066	1.0068	7.0	0.2052	False	AT2G22840	AT4G37740	1.0	1.0
AT1G55130__AT3G13772	0.91261	0.86656	2094.0	1911.0	0.10783	GF_000703	0.0421	0.632	8.0	0.0665	False	AT3G13772	AT1G55130	1.0	1.0
AT5G10840__AT5G25100	0.9197700000000001	0.86708	2094.0	1926.0	0.05697000000000001	GF_000703	0.028999999999999998	0.6981	9.0	0.0415	False	AT5G10840	AT5G25100	1.0	1.0
AT2G25480__AT4G32330	0.80894	0.73116	1476.0	1194.0	0.48217	GF_000735	0.2314	0.6286	10.0	0.3681	False	AT4G32330	AT2G25480	1.0	1.0
AT1G23790__AT1G70340	0.57177	0.72545	2529.0	1446.0	0.40531999999999996	GF_000738	0.2095	0.8914	7.0	0.235	False	AT1G70340	AT1G23790	1.0	1.0
AT1G12990__AT3G26445	0.29031999999999997	0.76923	1209.0	351.0	0.34139	GF_000713	0.1277	0.8329	7.0	0.1533	False	AT3G26445	AT1G12990	1.0	1.0
AT3G01620__AT5G14480	0.9603	0.8062	1209.0	1161.0	0.22305	GF_000713	0.0937	0.8279	9.0	0.1132	False	AT3G01620	AT5G14480	1.0	1.0
AT3G29380__AT5G39230	0.21109	0.48305	1677.0	354.0	1.3447	GF_000729	0.6491	4.4433	8.0	0.1461	False	AT3G29380	AT5G39230	0.5	0.5
AT2G41630__AT3G57370	0.53667	0.57333	1677.0	900.0	1.11507	GF_000729	0.5336	8.1158	10.0	0.0657	True	AT3G57370	AT2G41630	0.0	0.5
AT3G27280__AT5G40770	0.9355899999999999	0.83696	885.0	828.0	0.11104000000000001	GF_000721	0.0631	0.9057	7.0	0.0696	False	AT3G27280	AT5G40770	1.0	1.0
AT3G27280__AT5G40770	0.9355899999999999	0.83696	885.0	828.0	0.11104000000000001	GF_000721	0.0631	0.9057	7.0	0.0696	False	AT3G27280	AT5G40770	1.0	1.0
AT3G27280__AT5G14300	0.8305100000000001	0.6802699999999999	885.0	735.0	0.41811000000000004	GF_000721	0.20800000000000002	2.3292	8.0	0.0893	False	AT5G14300	AT3G27280	0.5	0.5
AT3G27280__AT5G14300	0.8305100000000001	0.6802699999999999	885.0	735.0	0.41811000000000004	GF_000721	0.20800000000000002	2.3292	8.0	0.0893	False	AT5G14300	AT3G27280	0.5	0.5
AT5G14300__AT5G40770	0.82373	0.68587	885.0	729.0	0.41903	GF_000721	0.1964	2.6343	8.0	0.0746	False	AT5G14300	AT5G40770	0.5	0.5
AT5G14300__AT5G40770	0.82373	0.68587	885.0	729.0	0.41903	GF_000721	0.1964	2.6343	8.0	0.0746	False	AT5G14300	AT5G40770	0.5	0.5
AT2G20530__AT4G28510	0.9627100000000001	0.83099	885.0	852.0	0.12538	GF_000721	0.0528	0.6783	9.0	0.0779	False	AT2G20530	AT4G28510	1.0	1.0
AT1G03860__AT2G20530	0.95593	0.76478	885.0	846.0	0.21211	GF_000721	0.0734	1.6157	10.0	0.0454	False	AT1G03860	AT2G20530	0.5	0.5
AT1G03860__AT2G20530	0.95593	0.76478	885.0	846.0	0.21211	GF_000721	0.0734	1.6157	10.0	0.0454	False	AT1G03860	AT2G20530	0.5	0.5
AT1G03860__AT4G28510	0.96949	0.79604	885.0	858.0	0.15127000000000002	GF_000721	0.0529	1.2174	10.0	0.0435	False	AT1G03860	AT4G28510	0.5	0.5
AT1G03860__AT4G28510	0.96949	0.79604	885.0	858.0	0.15127000000000002	GF_000721	0.0529	1.2174	10.0	0.0435	False	AT1G03860	AT4G28510	0.5	0.5
AT1G03860__AT5G44140	0.94237	0.80216	885.0	834.0	0.21995	GF_000721	0.1055	0.8063	11.0	0.1309	False	AT5G44140	AT1G03860	0.33333	0.33333
AT2G20530__AT5G44140	0.92881	0.7189800000000001	885.0	822.0	0.32018	GF_000721	0.1341	1.8943	11.0	0.0708	False	AT5G44140	AT2G20530	0.33333	0.33333
AT4G28510__AT5G44140	0.94237	0.7589899999999999	885.0	834.0	0.25934	GF_000721	0.1168	1.3289	11.0	0.0879	False	AT5G44140	AT4G28510	0.33333	0.33333
AT4G28510__AT5G44140	0.94237	0.7589899999999999	885.0	834.0	0.25934	GF_000721	0.1168	1.3289	11.0	0.0879	False	AT5G44140	AT4G28510	0.33333	0.33333
AT2G40880__AT5G05110	0.46947	0.57995	786.0	369.0	0.9495899999999999	GF_000732	0.3568	5.5962	11.0	0.0638	True	AT2G40880	AT5G05110	0.0	0.33333
AT4G17720__AT5G46870	0.77688	0.78201	1116.0	867.0	0.23703000000000002	GF_000711	0.0887	1.1299	8.0	0.0785	False	AT4G17720	AT5G46870	1.0	1.0
AT3G10000__AT5G03680	0.5925	0.68143	2400.0	1422.0	0.65095	GF_000733	0.2584	0.8901	8.0	0.2903	False	AT5G03680	AT3G10000	1.0	1.0
AT3G10000__AT5G03680	0.5925	0.68143	2400.0	1422.0	0.65095	GF_000733	0.2584	0.8901	8.0	0.2903	False	AT5G03680	AT3G10000	1.0	1.0
AT1G04270__AT5G43640	0.93125	0.84564	480.0	447.0	0.11823	GF_000722	0.0835	1.1759	11.0	0.071	False	AT5G43640	AT1G04270	0.11110999999999999	0.11110999999999999
AT2G46800__AT3G61940	0.40315	0.76376	2478.0	999.0	0.3071	GF_000717	0.157	1.08	7.0	0.1454	False	AT3G61940	AT2G46800	1.0	1.0
AT1G52910__AT3G15480	0.81395	0.80381	645.0	525.0	0.20695	GF_000720	0.0828	1.037	8.0	0.0799	False	AT1G52910	AT3G15480	1.0	1.0
AT3G09000__AT5G01280	0.3601	0.63693	3549.0	1278.0	0.53041	GF_000715	0.3628	1.226	8.0	0.29600000000000004	False	AT5G01280	AT3G09000	1.0	1.0
AT2G38160__AT5G01280	0.21048000000000003	0.47925	3549.0	747.0	1.3013	GF_000715	0.8213	2.6555	10.0	0.3093	True	AT2G38160	AT5G01280	0.0	0.33333
AT2G38160__AT5G01280	0.21048000000000003	0.47925	3549.0	747.0	1.3013	GF_000715	0.8213	2.6555	10.0	0.3093	True	AT2G38160	AT5G01280	0.0	0.33333
AT2G38160__AT3G09000	0.25613	0.49505	3549.0	909.0	1.12635	GF_000715	0.632	4.9911	10.0	0.1266	True	AT2G38160	AT3G09000	0.0	0.33333
AT2G37170__AT3G53420	0.9563799999999999	0.86082	894.0	855.0	0.07207000000000001	GF_000771	0.0201	0.6736	8.0	0.0299	False	AT3G53420	AT2G37170	0.5	0.5
AT2G24140__AT4G30830	0.47662	0.65157	1668.0	795.0	0.8135100000000001	GF_000749	0.3484	1.2014	6.0	0.29	False	AT4G30830	AT2G24140	1.0	1.0
AT3G11850__AT5G06560	0.8920899999999999	0.76008	1668.0	1488.0	0.43723999999999996	GF_000749	0.2153	0.7046	8.0	0.3055	False	AT3G11850	AT5G06560	1.0	1.0
AT5G09690__AT5G64560	0.8764299999999999	0.7963399999999999	1311.0	1149.0	0.23342	GF_000776	0.1425	0.8583	9.0	0.166	False	AT5G64560	AT5G09690	0.33333	0.33333
AT1G05675__AT2G31750	0.8985799999999999	0.6252800000000001	1479.0	1329.0	0.81821	GF_000750	0.3718	1.9054	8.0	0.1951	False	AT2G31750	AT1G05675	0.33333	0.33333
AT2G36355__AT3G52900	0.7381	0.8129	630.0	465.0	0.24783000000000002	GF_000741	0.1185	0.9929	7.0	0.1194	False	AT2G36355	AT3G52900	1.0	1.0
AT3G09980__AT5G03660	0.81905	0.81202	630.0	516.0	0.32668	GF_000741	0.1251	0.7086	10.0	0.1766	False	AT5G03660	AT3G09980	1.0	1.0
AT3G09980__AT5G03660	0.81905	0.81202	630.0	516.0	0.32668	GF_000741	0.1251	0.7086	10.0	0.1766	False	AT5G03660	AT3G09980	1.0	1.0
AT2G36355__AT5G03660	0.7381	0.56129	630.0	465.0	1.23204	GF_000741	0.5007	102.2063	12.0	0.0049	True	AT2G36355	AT5G03660	0.0	0.08333
AT2G36355__AT5G03660	0.7381	0.56129	630.0	465.0	1.23204	GF_000741	0.5007	102.2063	12.0	0.0049	True	AT2G36355	AT5G03660	0.0	0.08333
AT2G36355__AT3G09980	0.7381	0.58925	630.0	465.0	1.08738	GF_000741	0.3952	15.1887	12.0	0.026000000000000002	True	AT2G36355	AT3G09980	0.0	0.08333
AT3G52900__AT5G03660	0.78095	0.57724	630.0	492.0	1.23305	GF_000741	0.4568	14.4247	12.0	0.0317	True	AT3G52900	AT5G03660	0.0	0.08333
AT3G52900__AT5G03660	0.78095	0.57724	630.0	492.0	1.23305	GF_000741	0.4568	14.4247	12.0	0.0317	True	AT3G52900	AT5G03660	0.0	0.08333
AT3G09980__AT3G52900	0.78095	0.5813	630.0	492.0	1.08839	GF_000741	0.4136	20.5012	12.0	0.0202	True	AT3G52900	AT3G09980	0.0	0.08333
AT1G49620__AT3G19150	0.5974	0.5779	924.0	552.0	0.96194	GF_000736	0.5317	1.507	7.0	0.3528	False	AT1G49620	AT3G19150	1.0	1.0
AT4G18596__AT5G45880	0.9502799999999999	0.8720899999999999	543.0	516.0	0.05267	GF_000744	0.0311	0.5984	6.0	0.0521	False	AT4G18596	AT5G45880	1.0	1.0
AT4G05190__AT4G21270	0.7387600000000001	0.8246700000000001	3204.0	2367.0	0.16996	GF_000780	0.0822	0.8059	6.0	0.1019	False	AT4G21270	AT4G05190	1.0	1.0
AT4G27180__AT5G54670	0.69663	0.84005	3204.0	2232.0	0.1584	GF_000780	0.087	0.6497	7.0	0.1339	False	AT5G54670	AT4G27180	1.0	1.0
AT3G23770__AT4G14080	0.9131299999999999	0.7709699999999999	1554.0	1419.0	0.30667	GF_000777	0.1408	0.84	7.0	0.1676	False	AT3G23770	AT4G14080	1.0	1.0
AT1G51460__AT3G21080	0.31172	0.47733000000000003	2406.0	750.0	1.40162	GF_000759	0.6848	3.4869	8.0	0.1964	False	AT1G51460	AT3G21080	0.33333	0.33333
AT3G49940__AT5G67420	0.86429	0.77686	840.0	726.0	0.25587	GF_000763	0.1081	0.7959	6.0	0.1358	False	AT3G49940	AT5G67420	1.0	1.0
AT5G15160__AT5G39860	0.9583299999999999	0.68478	288.0	276.0	0.37321	GF_000752	0.2114	1.4968	8.0	0.1412	False	AT5G15160	AT5G39860	0.5	0.5
AT1G06800__AT2G30550	0.8564200000000001	0.75674	1776.0	1521.0	0.31028	GF_000760	0.0809	1.2272	7.0	0.0659	False	AT2G30550	AT1G06800	1.0	1.0
AT4G11950__AT4G22900	0.8397899999999999	0.7559	1161.0	975.0	0.34986	GF_000746	0.1339	0.9998	7.0	0.1339	False	AT4G22900	AT4G11950	1.0	1.0
AT2G42960__AT3G59110	0.94626	0.833	1563.0	1479.0	0.2049	GF_000756	0.1004	0.6352	7.0	0.1581	False	AT2G42960	AT3G59110	1.0	1.0
AT1G09440__AT1G56720	0.8733200000000001	0.77363	1563.0	1365.0	0.27891	GF_000756	0.1125	1.1796	8.0	0.0953	False	AT1G09440	AT1G56720	1.0	1.0
AT1G75310__AT4G36520	0.8298399999999999	0.40857	4725.0	3921.0	2.31042	GF_000743	0.6675	6.5962	7.0	0.1012	True	AT4G36520	AT1G75310	0.0	1.0
AT1G78980__AT3G13065	0.8741899999999999	0.61869	2313.0	2022.0	0.6574399999999999	GF_000754	0.2794	3.0269	6.0	0.0923	False	AT1G78980	AT3G13065	1.0	1.0
AT1G53730__AT3G14350	0.9221799999999999	0.7909	2313.0	2133.0	0.23839000000000002	GF_000754	0.1091	0.7976	7.0	0.1368	False	AT1G53730	AT3G14350	1.0	1.0
AT3G11340__AT5G05860	0.95309	0.60477	1407.0	1341.0	1.0316	GF_000751	0.4099	1.6134	10.0	0.2541	False	AT3G11340	AT5G05860	0.2	0.2
AT1G15350__AT3G15770	0.83978	0.57675	543.0	456.0	1.04708	GF_000761	0.4059	1.5345	7.0	0.2645	False	AT3G15770	AT1G15350	1.0	1.0
AT1G15350__AT3G15770	0.83978	0.57675	543.0	456.0	1.04708	GF_000761	0.4059	1.5345	7.0	0.2645	False	AT3G15770	AT1G15350	1.0	1.0
AT3G15770__AT4G32342	0.81215	0.54195	543.0	441.0	1.3714600000000001	GF_000761	0.3452	69.6321	9.0	0.005	True	AT3G15770	AT4G32342	0.0	0.25
AT1G15350__AT4G32342	0.7955800000000001	0.53241	543.0	432.0	1.3127799999999998	GF_000761	0.3597	33.2644	9.0	0.0108	True	AT1G15350	AT4G32342	0.0	0.25
AT1G15480__AT1G80270	0.94231	0.7369600000000001	1872.0	1764.0	0.4815	GF_000787	0.1904	0.8848	7.0	0.2152	False	AT1G80270	AT1G15480	1.0	1.0
AT1G80270__AT3G15590	0.9519200000000001	0.5897899999999999	1872.0	1782.0	0.98336	GF_000787	0.4424	2.061	8.0	0.2147	False	AT3G15590	AT1G80270	0.5	0.5
AT1G80270__AT3G15590	0.9519200000000001	0.5897899999999999	1872.0	1782.0	0.98336	GF_000787	0.4424	2.061	8.0	0.2147	False	AT3G15590	AT1G80270	0.5	0.5
AT1G15480__AT3G15590	0.9487200000000001	0.57601	1872.0	1776.0	1.02512	GF_000787	0.4512	3.0438	8.0	0.1482	False	AT3G15590	AT1G15480	0.5	0.5
AT1G15480__AT3G15590	0.9487200000000001	0.57601	1872.0	1776.0	1.02512	GF_000787	0.4512	3.0438	8.0	0.1482	False	AT3G15590	AT1G15480	0.5	0.5
AT1G09410__AT1G56690	0.85872	0.77158	2442.0	2097.0	0.36507	GF_000748	0.1738	0.9608	6.0	0.1809	False	AT1G09410	AT1G56690	1.0	1.0
AT1G53920__AT3G14225	0.8021699999999999	0.5573600000000001	1380.0	1107.0	1.14422	GF_000803	0.4346	8.0848	9.0	0.0538	True	AT1G53920	AT3G14225	0.0	0.25
AT1G53920__AT3G14225	0.8021699999999999	0.5573600000000001	1380.0	1107.0	1.14422	GF_000803	0.4346	8.0848	9.0	0.0538	True	AT1G53920	AT3G14225	0.0	0.25
AT1G55360__AT3G13510	0.87631	0.8532700000000001	1431.0	1254.0	0.11805	GF_000773	0.0576	0.6633	6.0	0.0869	False	AT3G13510	AT1G55360	1.0	1.0
AT3G13510__AT5G56530	0.87631	0.75917	1431.0	1254.0	0.26539	GF_000773	0.1118	1.6925	7.0	0.066	False	AT5G56530	AT3G13510	0.5	0.5
AT3G13510__AT5G56530	0.87631	0.75917	1431.0	1254.0	0.26539	GF_000773	0.1118	1.6925	7.0	0.066	False	AT5G56530	AT3G13510	0.5	0.5
