	Vvi.cds
GF02156	GSVIVT01026135001, GSVIVT01038782001, GSVIVT01038778001
GF02157	GSVIVT01026308001, GSVIVT01033251001, GSVIVT01033250001
GF02158	GSVIVT01026357001, GSVIVT01033158001, GSVIVT01032300001
GF02159	GSVIVT01034896001, GSVIVT01029754001, GSVIVT01029755001
GF02160	GSVIVT01026479001, GSVIVT01035741001, GSVIVT01027211001
GF02161	GSVIVT01026616001, GSVIVT01028213001, GSVIVT01031320001
GF02162	GSVIVT01026635001, GSVIVT01027985001, GSVIVT01026715001
GF02163	GSVIVT01026845001, GSVIVT01029826001, GSVIVT01027968001
GF02164	GSVIVT01026856001, GSVIVT01026858001, GSVIVT01026859001
GF02165	GSVIVT01026869001, GSVIVT01028980001, GSVIVT01019785001
GF02166	GSVIVT01026915001, GSVIVT01027024001, GSVIVT01026916001
GF02167	GSVIVT01026919001, GSVIVT01028916001, GSVIVT01030786001
GF02168	GSVIVT01026974001, GSVIVT01026976001, GSVIVT01026975001
GF02169	GSVIVT01027252001, GSVIVT01037393001, GSVIVT01037400001
GF02170	GSVIVT01027320001, GSVIVT01033616001, GSVIVT01034618001
GF02171	GSVIVT01027444001, GSVIVT01036051001, GSVIVT01033949001
GF02172	GSVIVT01027478001, GSVIVT01038668001, GSVIVT01036066001
GF02173	GSVIVT01027494001, GSVIVT01027495001, GSVIVT01027496001
GF02174	GSVIVT01027796001, GSVIVT01027798001, GSVIVT01036192001
GF02175	GSVIVT01027855001, GSVIVT01028371001, GSVIVT01036891001
GF02176	GSVIVT01027969001, GSVIVT01034955001, GSVIVT01035573001
GF02177	GSVIVT01028029001, GSVIVT01028296001, GSVIVT01036149001
GF02178	GSVIVT01028047001, GSVIVT01028048001, GSVIVT01028049001
GF02179	GSVIVT01028133001, GSVIVT01031244001, GSVIVT01035006001
GF02180	GSVIVT01028151001, GSVIVT01031256001, GSVIVT01034962001
GF02181	GSVIVT01028454001, GSVIVT01037105001, GSVIVT01037103001
GF02182	GSVIVT01028606001, GSVIVT01028617001, GSVIVT01028618001
GF02183	GSVIVT01028771001, GSVIVT01038702001, GSVIVT01028802001
GF02184	GSVIVT01029107001, GSVIVT01036037001, GSVIVT01036499001
GF02185	GSVIVT01029247001, GSVIVT01035912001, GSVIVT01033422001
GF02186	GSVIVT01029318001, GSVIVT01030269001, GSVIVT01030268001
GF02187	GSVIVT01029375001, GSVIVT01031261001, GSVIVT01032660001
GF02188	GSVIVT01029415001, GSVIVT01033246001, GSVIVT01031532001
GF02189	GSVIVT01032208001, GSVIVT01032202001, GSVIVT01036257001
GF02190	GSVIVT01030214001, GSVIVT01030215001, GSVIVT01032713001
GF02191	GSVIVT01030242001, GSVIVT01032726001, GSVIVT01030243001
GF02192	GSVIVT01030876001, GSVIVT01031143001, GSVIVT01032877001
GF02193	GSVIVT01030917001, GSVIVT01030918001, GSVIVT01030920001
GF02194	GSVIVT01031010001, GSVIVT01031214001, GSVIVT01035042001
GF02195	GSVIVT01031131001, GSVIVT01035144001, GSVIVT01032718001
GF02196	GSVIVT01031173001, GSVIVT01031179001, GSVIVT01031177001
GF02197	GSVIVT01031383001, GSVIVT01033798001, GSVIVT01034739001
GF02198	GSVIVT01031400001, GSVIVT01034713001, GSVIVT01033777001
GF02199	GSVIVT01031640001, GSVIVT01037857001, GSVIVT01035473001
GF02200	GSVIVT01031671001, GSVIVT01037758001, GSVIVT01038385001
GF02201	GSVIVT01031943001, GSVIVT01031946001, GSVIVT01031948001
GF02202	GSVIVT01032437001, GSVIVT01035240001, GSVIVT01036689001
GF02203	GSVIVT01032940001, GSVIVT01033890001, GSVIVT01038651001
GF02204	GSVIVT01033242001, GSVIVT01033245001, GSVIVT01033244001
GF02205	GSVIVT01033593001, GSVIVT01033594001, GSVIVT01037248001
GF02206	GSVIVT01033836001, GSVIVT01037738001, GSVIVT01036058001
GF02207	GSVIVT01033955001, GSVIVT01034626001, GSVIVT01034624001
GF02208	GSVIVT01034644001, GSVIVT01036428001, GSVIVT01036421001
GF02209	GSVIVT01034912001, GSVIVT01034975001, GSVIVT01034926001
GF02210	GSVIVT01035923001, GSVIVT01036672001, GSVIVT01037276001
GF02211	GSVIVT01036278001, GSVIVT01036279001, GSVIVT01036281001
GF02212	GSVIVT01036611001, GSVIVT01036631001, GSVIVT01036616001
GF02213	GSVIVT01037615001, GSVIVT01037619001, GSVIVT01037618001
GF02214	GSVIVT01037871001, GSVIVT01037872001, GSVIVT01037873001
GF02215	GSVIVT01000019001, GSVIVT01006266001
GF02216	GSVIVT01000024001, GSVIVT01017897001
GF02217	GSVIVT01000039001, GSVIVT01017912001
GF02218	GSVIVT01000041001, GSVIVT01029821001
GF02219	GSVIVT01000043001, GSVIVT01017914001
GF02220	GSVIVT01000059001, GSVIVT01000061001
GF02221	GSVIVT01000077001, GSVIVT01025204001
GF02222	GSVIVT01000089001, GSVIVT01017770001
GF02223	GSVIVT01000091001, GSVIVT01017767001
GF02224	GSVIVT01010305001, GSVIVT01007532001
GF02225	GSVIVT01000109001, GSVIVT01000118001
GF02226	GSVIVT01000150001, GSVIVT01009367001
GF02227	GSVIVT01032563001, GSVIVT01028915001
GF02228	GSVIVT01000154001, GSVIVT01035410001
GF02229	GSVIVT01000155001, GSVIVT01000157001
GF02230	GSVIVT01018438001, GSVIVT01010670001
GF02231	GSVIVT01000164001, GSVIVT01009381001
GF02232	GSVIVT01000167001, GSVIVT01037885001
GF02233	GSVIVT01000170001, GSVIVT01009385001
GF02234	GSVIVT01036671001, GSVIVT01009155001
GF02235	GSVIVT01014763001, GSVIVT01018880001
GF02236	GSVIVT01000208001, GSVIVT01024811001
GF02237	GSVIVT01000215001, GSVIVT01009409001
GF02238	GSVIVT01018814001, GSVIVT01009829001
GF02239	GSVIVT01000223001, GSVIVT01020018001
GF02240	GSVIVT01000233001, GSVIVT01025837001
GF02241	GSVIVT01000249001, GSVIVT01038712001
GF02242	GSVIVT01022014001, GSVIVT01011037001
GF02243	GSVIVT01000277001, GSVIVT01022319001
GF02244	GSVIVT01000280001, GSVIVT01024509001
GF02245	GSVIVT01000309001, GSVIVT01019559001
GF02246	GSVIVT01001945001, GSVIVT01035282001
GF02247	GSVIVT01000333001, GSVIVT01019962001
GF02248	GSVIVT01020566001, GSVIVT01014315001
GF02249	GSVIVT01000371001, GSVIVT01029397001
GF02250	GSVIVT01038234001, GSVIVT01022137001
GF02251	GSVIVT01000389001, GSVIVT01012590001
GF02252	GSVIVT01000415001, GSVIVT01019372001
GF02253	GSVIVT01000441001, GSVIVT01027852001
GF02254	GSVIVT01000442001, GSVIVT01009041001
GF02255	GSVIVT01000458001, GSVIVT01008405001
GF02256	GSVIVT01000481001, GSVIVT01020841001
GF02257	GSVIVT01000482001, GSVIVT01021434001
GF02258	GSVIVT01000536001, GSVIVT01022336001
GF02259	GSVIVT01035977001, GSVIVT01016046001
GF02260	GSVIVT01031154001, GSVIVT01031083001
GF02261	GSVIVT01000549001, GSVIVT01024072001
GF02262	GSVIVT01000550001, GSVIVT01007621001
GF02263	GSVIVT01016152001, GSVIVT01036531001
GF02264	GSVIVT01000568001, GSVIVT01028910001
GF02265	GSVIVT01025040001, GSVIVT01016617001
GF02266	GSVIVT01024937001, GSVIVT01034158001
GF02267	GSVIVT01000588001, GSVIVT01014675001
GF02268	GSVIVT01000593001, GSVIVT01014381001
GF02269	GSVIVT01000594001, GSVIVT01024995001
GF02270	GSVIVT01015384001, GSVIVT01010106001
GF02271	GSVIVT01005204001, GSVIVT01020548001
GF02272	GSVIVT01000650001, GSVIVT01000654001
GF02273	GSVIVT01000658001, GSVIVT01024428001
GF02274	GSVIVT01000669001, GSVIVT01003081001
GF02275	GSVIVT01000712001, GSVIVT01000713001
GF02276	GSVIVT01000718001, GSVIVT01013142001
GF02277	GSVIVT01018283001, GSVIVT01018281001
GF02278	GSVIVT01000726001, GSVIVT01003806001
GF02279	GSVIVT01000729001, GSVIVT01029079001
GF02280	GSVIVT01000743001, GSVIVT01036277001
GF02281	GSVIVT01000780001, GSVIVT01004085001
GF02282	GSVIVT01018382001, GSVIVT01013241001
GF02283	GSVIVT01000817001, GSVIVT01037029001
GF02284	GSVIVT01000832001, GSVIVT01001943001
GF02285	GSVIVT01000835001, GSVIVT01029933001
GF02286	GSVIVT01000857001, GSVIVT01032732001
GF02287	GSVIVT01000869001, GSVIVT01001470001
GF02288	GSVIVT01000889001, GSVIVT01000891001
GF02289	GSVIVT01000906001, GSVIVT01010535001
GF02290	GSVIVT01009924001, GSVIVT01024057001
GF02291	GSVIVT01000939001, GSVIVT01034981001
GF02292	GSVIVT01000943001, GSVIVT01027613001
GF02293	GSVIVT01000947001, GSVIVT01033030001
GF02294	GSVIVT01000955001, GSVIVT01004977001
GF02295	GSVIVT01000981001, GSVIVT01033859001
GF02296	GSVIVT01000987001, GSVIVT01000996001
GF02297	GSVIVT01001004001, GSVIVT01016110001
GF02298	GSVIVT01001014001, GSVIVT01003144001
GF02299	GSVIVT01015387001, GSVIVT01029459001
GF02300	GSVIVT01001063001, GSVIVT01033404001
GF02301	GSVIVT01001070001, GSVIVT01027398001
GF02302	GSVIVT01001075001, GSVIVT01003719001
GF02303	GSVIVT01005028001, GSVIVT01034212001
GF02304	GSVIVT01004890001, GSVIVT01004893001
GF02305	GSVIVT01001091001, GSVIVT01008653001
GF02306	GSVIVT01001092001, GSVIVT01008654001
GF02307	GSVIVT01001093001, GSVIVT01032981001
GF02308	GSVIVT01001094001, GSVIVT01008660001
GF02309	GSVIVT01001101001, GSVIVT01027208001
GF02310	GSVIVT01001108001, GSVIVT01001109001
GF02311	GSVIVT01001113001, GSVIVT01032964001
GF02312	GSVIVT01001116001, GSVIVT01008665001
GF02313	GSVIVT01012856001, GSVIVT01036957001
GF02314	GSVIVT01001137001, GSVIVT01024537001
GF02315	GSVIVT01001140001, GSVIVT01037132001
GF02316	GSVIVT01001147001, GSVIVT01017936001
GF02317	GSVIVT01008220001, GSVIVT01003978001
GF02318	GSVIVT01001149001, GSVIVT01017938001
GF02319	GSVIVT01001154001, GSVIVT01032392001
GF02320	GSVIVT01001159001, GSVIVT01017944001
GF02321	GSVIVT01001162001, GSVIVT01003702001
GF02322	GSVIVT01001167001, GSVIVT01021860001
GF02323	GSVIVT01001181001, GSVIVT01018010001
GF02324	GSVIVT01001185001, GSVIVT01001186001
GF02325	GSVIVT01023744001, GSVIVT01023724001
GF02326	GSVIVT01018091001, GSVIVT01021731001
GF02327	GSVIVT01001261001, GSVIVT01019271001
GF02328	GSVIVT01038666001, GSVIVT01018260001
GF02329	GSVIVT01001267001, GSVIVT01001268001
GF02330	GSVIVT01001277001, GSVIVT01004778001
GF02331	GSVIVT01001278001, GSVIVT01004779001
GF02332	GSVIVT01001285001, GSVIVT01004789001
GF02333	GSVIVT01001303001, GSVIVT01027640001
GF02334	GSVIVT01001312001, GSVIVT01032945001
GF02335	GSVIVT01001313001, GSVIVT01030884001
GF02336	GSVIVT01001314001, GSVIVT01006641001
GF02337	GSVIVT01001334001, GSVIVT01011473001
GF02338	GSVIVT01035843001, GSVIVT01017308001
GF02339	GSVIVT01001351001, GSVIVT01014621001
GF02340	GSVIVT01001356001, GSVIVT01033500001
GF02341	GSVIVT01001362001, GSVIVT01025369001
GF02342	GSVIVT01001372001, GSVIVT01022128001
GF02343	GSVIVT01001401001, GSVIVT01008184001
GF02344	GSVIVT01024642001, GSVIVT01030290001
GF02345	GSVIVT01001426001, GSVIVT01036594001
GF02346	GSVIVT01001463001, GSVIVT01033233001
GF02347	GSVIVT01001467001, GSVIVT01031538001
GF02348	GSVIVT01001468001, GSVIVT01024024001
GF02349	GSVIVT01001479001, GSVIVT01020320001
GF02350	GSVIVT01001507001, GSVIVT01026445001
GF02351	GSVIVT01025724001, GSVIVT01031515001
GF02352	GSVIVT01001530001, GSVIVT01027075001
GF02353	GSVIVT01001572001, GSVIVT01011662001
GF02354	GSVIVT01001578001, GSVIVT01030760001
GF02355	GSVIVT01001592001, GSVIVT01015205001
GF02356	GSVIVT01001612001, GSVIVT01005037001
GF02357	GSVIVT01014553001, GSVIVT01034202001
GF02358	GSVIVT01001689001, GSVIVT01016771001
GF02359	GSVIVT01001706001, GSVIVT01030849001
GF02360	GSVIVT01027900001, GSVIVT01011697001
GF02361	GSVIVT01001760001, GSVIVT01003574001
GF02362	GSVIVT01001774001, GSVIVT01004335001
GF02363	GSVIVT01030639001, GSVIVT01029365001
GF02364	GSVIVT01001810001, GSVIVT01007976001
GF02365	GSVIVT01001816001, GSVIVT01028241001
GF02366	GSVIVT01019771001, GSVIVT01028940001
GF02367	GSVIVT01001829001, GSVIVT01029570001
GF02368	GSVIVT01001830001, GSVIVT01017236001
GF02369	GSVIVT01034328001, GSVIVT01016315001
GF02370	GSVIVT01001837001, GSVIVT01010353001
GF02371	GSVIVT01001846001, GSVIVT01010321001
GF02372	GSVIVT01001853001, GSVIVT01024748001
GF02373	GSVIVT01001856001, GSVIVT01026322001
GF02374	GSVIVT01001859001, GSVIVT01028455001
GF02375	GSVIVT01034269001, GSVIVT01004859001
GF02376	GSVIVT01001920001, GSVIVT01021574001
GF02377	GSVIVT01029696001, GSVIVT01034540001
GF02378	GSVIVT01009970001, GSVIVT01006332001
GF02379	GSVIVT01024357001, GSVIVT01015658001
GF02380	GSVIVT01001977001, GSVIVT01012636001
GF02381	GSVIVT01038614001, GSVIVT01019648001
GF02382	GSVIVT01001985001, GSVIVT01030606001
GF02383	GSVIVT01001997001, GSVIVT01012644001
GF02384	GSVIVT01002002001, GSVIVT01012656001
GF02385	GSVIVT01002015001, GSVIVT01004132001
GF02386	GSVIVT01002029001, GSVIVT01002224001
GF02387	GSVIVT01002034001, GSVIVT01014382001
GF02388	GSVIVT01002049001, GSVIVT01006246001
GF02389	GSVIVT01002050001, GSVIVT01004826001
GF02390	GSVIVT01002068001, GSVIVT01004448001
GF02391	GSVIVT01002096001, GSVIVT01007237001
GF02392	GSVIVT01002112001, GSVIVT01007636001
GF02393	GSVIVT01002125001, GSVIVT01018290001
GF02394	GSVIVT01002138001, GSVIVT01024485001
GF02395	GSVIVT01002202001, GSVIVT01014709001
GF02396	GSVIVT01002204001, GSVIVT01007663001
GF02397	GSVIVT01002214001, GSVIVT01002276001
GF02398	GSVIVT01002254001, GSVIVT01006234001
GF02399	GSVIVT01002260001, GSVIVT01004251001
GF02400	GSVIVT01002334001, GSVIVT01006533001
GF02401	GSVIVT01002344001, GSVIVT01007265001
GF02402	GSVIVT01002382001, GSVIVT01002954001
GF02403	GSVIVT01002468001, GSVIVT01024713001
GF02404	GSVIVT01002499001, GSVIVT01003018001
GF02405	GSVIVT01015733001, GSVIVT01016514001
GF02406	GSVIVT01002581001, GSVIVT01009182001
GF02407	GSVIVT01002582001, GSVIVT01005928001
GF02408	GSVIVT01002602001, GSVIVT01002966001
GF02409	GSVIVT01002630001, GSVIVT01037814001
GF02410	GSVIVT01002631001, GSVIVT01025814001
GF02411	GSVIVT01002717001, GSVIVT01006404001
GF02412	GSVIVT01007327001, GSVIVT01002824001
GF02413	GSVIVT01002745001, GSVIVT01002959001
GF02414	GSVIVT01002756001, GSVIVT01007454001
GF02415	GSVIVT01016443001, GSVIVT01016445001
GF02416	GSVIVT01024856001, GSVIVT01024857001
GF02417	GSVIVT01002796001, GSVIVT01038287001
GF02418	GSVIVT01002813001, GSVIVT01021084001
GF02419	GSVIVT01002816001, GSVIVT01003726001
GF02420	GSVIVT01022039001, GSVIVT01019398001
GF02421	GSVIVT01002826001, GSVIVT01004332001
GF02422	GSVIVT01002932001, GSVIVT01006537001
GF02423	GSVIVT01002945001, GSVIVT01018087001
GF02424	GSVIVT01002947001, GSVIVT01009311001
GF02425	GSVIVT01002948001, GSVIVT01004436001
GF02426	GSVIVT01003104001, GSVIVT01003107001
GF02427	GSVIVT01003113001, GSVIVT01018038001
GF02428	GSVIVT01003122001, GSVIVT01018049001
GF02429	GSVIVT01017662001, GSVIVT01017603001
GF02430	GSVIVT01003135001, GSVIVT01018072001
GF02431	GSVIVT01003148001, GSVIVT01029556001
GF02432	GSVIVT01003156001, GSVIVT01031602001
GF02433	GSVIVT01003169001, GSVIVT01009820001
GF02434	GSVIVT01003170001, GSVIVT01003172001
GF02435	GSVIVT01003176001, GSVIVT01009437001
GF02436	GSVIVT01003185001, GSVIVT01003190001
GF02437	GSVIVT01003189001, GSVIVT01003194001
GF02438	GSVIVT01038063001, GSVIVT01038076001
GF02439	GSVIVT01003202001, GSVIVT01003206001
GF02440	GSVIVT01003211001, GSVIVT01014003001
GF02441	GSVIVT01003220001, GSVIVT01021852001
GF02442	GSVIVT01003228001, GSVIVT01007978001
GF02443	GSVIVT01003236001, GSVIVT01030750001
GF02444	GSVIVT01003277001, GSVIVT01003748001
GF02445	GSVIVT01003278001, GSVIVT01020909001
GF02446	GSVIVT01031486001, GSVIVT01033658001
GF02447	GSVIVT01003286001, GSVIVT01030501001
GF02448	GSVIVT01003308001, GSVIVT01030507001
GF02449	GSVIVT01003310001, GSVIVT01013112001
GF02450	GSVIVT01003315001, GSVIVT01003316001
GF02451	GSVIVT01003326001, GSVIVT01006080001
GF02452	GSVIVT01003331001, GSVIVT01003337001
GF02453	GSVIVT01003332001, GSVIVT01003339001
GF02454	GSVIVT01003334001, GSVIVT01003341001
GF02455	GSVIVT01003346001, GSVIVT01003351001
GF02456	GSVIVT01003386001, GSVIVT01021052001
GF02457	GSVIVT01003391001, GSVIVT01008341001
GF02458	GSVIVT01003416001, GSVIVT01018762001
GF02459	GSVIVT01014695001, GSVIVT01014718001
GF02460	GSVIVT01003426001, GSVIVT01003429001
GF02461	GSVIVT01003467001, GSVIVT01020782001
GF02462	GSVIVT01003475001, GSVIVT01036517001
GF02463	GSVIVT01003476001, GSVIVT01007656001
GF02464	GSVIVT01031264001, GSVIVT01028157001
GF02465	GSVIVT01003482001, GSVIVT01004669001
GF02466	GSVIVT01003483001, GSVIVT01034993001
GF02467	GSVIVT01034429001, GSVIVT01034432001
GF02468	GSVIVT01003594001, GSVIVT01006732001
GF02469	GSVIVT01003618001, GSVIVT01009122001
GF02470	GSVIVT01003632001, GSVIVT01006279001
GF02471	GSVIVT01003640001, GSVIVT01027344001
GF02472	GSVIVT01003643001, GSVIVT01026596001
GF02473	GSVIVT01003683001, GSVIVT01028683001
GF02474	GSVIVT01003705001, GSVIVT01005670001
GF02475	GSVIVT01003710001, GSVIVT01005596001
GF02476	GSVIVT01003715001, GSVIVT01009236001
GF02477	GSVIVT01010627001, GSVIVT01010626001
GF02478	GSVIVT01003730001, GSVIVT01031355001
GF02479	GSVIVT01003733001, GSVIVT01003739001
GF02480	GSVIVT01003736001, GSVIVT01003741001
GF02481	GSVIVT01003757001, GSVIVT01010742001
GF02482	GSVIVT01009627001, GSVIVT01031904001
GF02483	GSVIVT01003760001, GSVIVT01027660001
GF02484	GSVIVT01010232001, GSVIVT01008966001
GF02485	GSVIVT01003767001, GSVIVT01031895001
GF02486	GSVIVT01003774001, GSVIVT01003776001
GF02487	GSVIVT01016880001, GSVIVT01016879001
GF02488	GSVIVT01003796001, GSVIVT01005732001
GF02489	GSVIVT01018397001, GSVIVT01018398001
GF02490	GSVIVT01003842001, GSVIVT01023891001
GF02491	GSVIVT01003843001, GSVIVT01023890001
GF02492	GSVIVT01003871001, GSVIVT01005337001
GF02493	GSVIVT01003882001, GSVIVT01012958001
GF02494	GSVIVT01013249001, GSVIVT01035328001
GF02495	GSVIVT01028424001, GSVIVT01027918001
GF02496	GSVIVT01003930001, GSVIVT01006951001
GF02497	GSVIVT01003934001, GSVIVT01024707001
GF02498	GSVIVT01003937001, GSVIVT01037358001
GF02499	GSVIVT01003971001, GSVIVT01003973001
GF02500	GSVIVT01003992001, GSVIVT01007182001
GF02501	GSVIVT01003994001, GSVIVT01038197001
GF02502	GSVIVT01004003001, GSVIVT01038219001
GF02503	GSVIVT01004024001, GSVIVT01027296001
GF02504	GSVIVT01004034001, GSVIVT01004060001
GF02505	GSVIVT01004070001, GSVIVT01005919001
GF02506	GSVIVT01004084001, GSVIVT01016669001
GF02507	GSVIVT01004087001, GSVIVT01007676001
GF02508	GSVIVT01004101001, GSVIVT01004105001
GF02509	GSVIVT01015541001, GSVIVT01020911001
GF02510	GSVIVT01004114001, GSVIVT01004442001
GF02511	GSVIVT01004124001, GSVIVT01038286001
GF02512	GSVIVT01004126001, GSVIVT01006115001
GF02513	GSVIVT01019589001, GSVIVT01019584001
GF02514	GSVIVT01004287001, GSVIVT01007420001
GF02515	GSVIVT01004337001, GSVIVT01023558001
GF02516	GSVIVT01004373001, GSVIVT01006541001
GF02517	GSVIVT01004460001, GSVIVT01015755001
GF02518	GSVIVT01004462001, GSVIVT01004463001
GF02519	GSVIVT01004596001, GSVIVT01006544001
GF02520	GSVIVT01004599001, GSVIVT01038505001
GF02521	GSVIVT01004639001, GSVIVT01006574001
GF02522	GSVIVT01004671001, GSVIVT01030151001
GF02523	GSVIVT01004672001, GSVIVT01005334001
GF02524	GSVIVT01004707001, GSVIVT01018158001
GF02525	GSVIVT01004713001, GSVIVT01006992001
GF02526	GSVIVT01004733001, GSVIVT01030156001
GF02527	GSVIVT01004748001, GSVIVT01028077001
GF02528	GSVIVT01020846001, GSVIVT01021429001
GF02529	GSVIVT01004797001, GSVIVT01018273001
GF02530	GSVIVT01004798001, GSVIVT01013903001
GF02531	GSVIVT01004813001, GSVIVT01004816001
GF02532	GSVIVT01004857001, GSVIVT01013304001
GF02533	GSVIVT01004910001, GSVIVT01027632001
GF02534	GSVIVT01004944001, GSVIVT01032993001
GF02535	GSVIVT01004954001, GSVIVT01021020001
GF02536	GSVIVT01004964001, GSVIVT01006218001
GF02537	GSVIVT01005023001, GSVIVT01032705001
GF02538	GSVIVT01005024001, GSVIVT01027020001
GF02539	GSVIVT01005031001, GSVIVT01005033001
GF02540	GSVIVT01005040001, GSVIVT01037626001
GF02541	GSVIVT01005044001, GSVIVT01031545001
GF02542	GSVIVT01005051001, GSVIVT01036121001
GF02543	GSVIVT01005110001, GSVIVT01028645001
GF02544	GSVIVT01012171001, GSVIVT01022183001
GF02545	GSVIVT01005150001, GSVIVT01021377001
GF02546	GSVIVT01005152001, GSVIVT01012217001
GF02547	GSVIVT01005153001, GSVIVT01005154001
GF02548	GSVIVT01005286001, GSVIVT01005284001
GF02549	GSVIVT01034588001, GSVIVT01025272001
GF02550	GSVIVT01024921001, GSVIVT01016511001
GF02551	GSVIVT01005198001, GSVIVT01032525001
GF02552	GSVIVT01005201001, GSVIVT01031393001
GF02553	GSVIVT01005203001, GSVIVT01014351001
GF02554	GSVIVT01005209001, GSVIVT01031364001
GF02555	GSVIVT01005213001, GSVIVT01020555001
GF02556	GSVIVT01034427001, GSVIVT01014437001
GF02557	GSVIVT01005274001, GSVIVT01005298001
GF02558	GSVIVT01015353001, GSVIVT01017050001
GF02559	GSVIVT01005313001, GSVIVT01015690001
GF02560	GSVIVT01005331001, GSVIVT01020927001
GF02561	GSVIVT01005382001, GSVIVT01020431001
GF02562	GSVIVT01005416001, GSVIVT01007214001
GF02563	GSVIVT01016232001, GSVIVT01034143001
GF02564	GSVIVT01005520001, GSVIVT01018972001
GF02565	GSVIVT01005523001, GSVIVT01020507001
GF02566	GSVIVT01005579001, GSVIVT01005612001
GF02567	GSVIVT01005665001, GSVIVT01015806001
GF02568	GSVIVT01005677001, GSVIVT01032946001
GF02569	GSVIVT01005693001, GSVIVT01026661001
GF02570	GSVIVT01005709001, GSVIVT01024104001
GF02571	GSVIVT01005813001, GSVIVT01006141001
GF02572	GSVIVT01005874001, GSVIVT01011183001
GF02573	GSVIVT01005877001, GSVIVT01029982001
GF02574	GSVIVT01009661001, GSVIVT01027580001
GF02575	GSVIVT01005966001, GSVIVT01030734001
GF02576	GSVIVT01005972001, GSVIVT01025050001
GF02577	GSVIVT01005974001, GSVIVT01025593001
GF02578	GSVIVT01005989001, GSVIVT01006058001
GF02579	GSVIVT01006027001, GSVIVT01008455001
GF02580	GSVIVT01022409001, GSVIVT01011357001
GF02581	GSVIVT01006086001, GSVIVT01012124001
GF02582	GSVIVT01006089001, GSVIVT01006734001
GF02583	GSVIVT01006130001, GSVIVT01032338001
GF02584	GSVIVT01006138001, GSVIVT01012122001
GF02585	GSVIVT01023961001, GSVIVT01023960001
GF02586	GSVIVT01027053001, GSVIVT01019491001
GF02587	GSVIVT01006210001, GSVIVT01033373001
GF02588	GSVIVT01006232001, GSVIVT01026373001
GF02589	GSVIVT01006273001, GSVIVT01015047001
GF02590	GSVIVT01006333001, GSVIVT01009971001
GF02591	GSVIVT01037494001, GSVIVT01029892001
GF02592	GSVIVT01006337001, GSVIVT01006948001
GF02593	GSVIVT01006386001, GSVIVT01006388001
GF02594	GSVIVT01006448001, GSVIVT01033975001
GF02595	GSVIVT01006483001, GSVIVT01014397001
GF02596	GSVIVT01006498001, GSVIVT01009018001
GF02597	GSVIVT01006577001, GSVIVT01016711001
GF02598	GSVIVT01006594001, GSVIVT01037020001
GF02599	GSVIVT01006600001, GSVIVT01008313001
GF02600	GSVIVT01006662001, GSVIVT01009345001
GF02601	GSVIVT01006677001, GSVIVT01033115001
GF02602	GSVIVT01006710001, GSVIVT01014421001
GF02603	GSVIVT01006770001, GSVIVT01031161001
GF02604	GSVIVT01028104001, GSVIVT01035033001
GF02605	GSVIVT01006789001, GSVIVT01033117001
GF02606	GSVIVT01006794001, GSVIVT01023787001
GF02607	GSVIVT01036017001, GSVIVT01036018001
GF02608	GSVIVT01006925001, GSVIVT01007277001
GF02609	GSVIVT01006944001, GSVIVT01034350001
GF02610	GSVIVT01007048001, GSVIVT01009313001
GF02611	GSVIVT01007067001, GSVIVT01017869001
GF02612	GSVIVT01007149001, GSVIVT01018256001
GF02613	GSVIVT01007239001, GSVIVT01008571001
GF02614	GSVIVT01007243001, GSVIVT01037715001
GF02615	GSVIVT01007244001, GSVIVT01013254001
GF02616	GSVIVT01028557001, GSVIVT01029062001
GF02617	GSVIVT01007344001, GSVIVT01013867001
GF02618	GSVIVT01011710001, GSVIVT01030735001
GF02619	GSVIVT01007575001, GSVIVT01013677001
GF02620	GSVIVT01007578001, GSVIVT01021041001
GF02621	GSVIVT01026269001, GSVIVT01034691001
GF02622	GSVIVT01007655001, GSVIVT01021879001
GF02623	GSVIVT01007667001, GSVIVT01032405001
GF02624	GSVIVT01007672001, GSVIVT01015902001
GF02625	GSVIVT01030386001, GSVIVT01014388001
GF02626	GSVIVT01007694001, GSVIVT01019629001
GF02627	GSVIVT01007699001, GSVIVT01013808001
GF02628	GSVIVT01007701001, GSVIVT01032759001
GF02629	GSVIVT01007705001, GSVIVT01009618001
GF02630	GSVIVT01018843001, GSVIVT01029260001
GF02631	GSVIVT01007720001, GSVIVT01032439001
GF02632	GSVIVT01007725001, GSVIVT01013784001
GF02633	GSVIVT01007763001, GSVIVT01032477001
GF02634	GSVIVT01030933001, GSVIVT01030931001
GF02635	GSVIVT01029407001, GSVIVT01029404001
GF02636	GSVIVT01007800001, GSVIVT01032507001
GF02637	GSVIVT01007826001, GSVIVT01032165001
GF02638	GSVIVT01035891001, GSVIVT01023590001
GF02639	GSVIVT01015062001, GSVIVT01016734001
GF02640	GSVIVT01007830001, GSVIVT01032587001
GF02641	GSVIVT01007832001, GSVIVT01032583001
GF02642	GSVIVT01007833001, GSVIVT01010327001
GF02643	GSVIVT01007838001, GSVIVT01032580001
GF02644	GSVIVT01007845001, GSVIVT01032571001
GF02645	GSVIVT01015111001, GSVIVT01022784001
GF02646	GSVIVT01007850001, GSVIVT01012223001
GF02647	GSVIVT01007853001, GSVIVT01038511001
GF02648	GSVIVT01007864001, GSVIVT01029908001
GF02649	GSVIVT01010778001, GSVIVT01010785001
