Orthogroup	A. trichopoda	V. vinifera
OG0000561	ATR0737G131.1, ATR1089G002.1	GSVIVT01014335001, GSVIVT01023220001
OG0000562	ATR0049G067.1, ATR0605G056.1	GSVIVT01013187001, GSVIVT01022315001
OG0000563	ATR0185G001.1, ATR0589G117.1, ATR0762G049.1	GSVIVT01016817001
OG0000564	ATR0006G087.1, ATR0796G201.1	GSVIVT01031138001, GSVIVT01033665001
OG0000565	ATR0021G034.1, ATR0584G241.1	GSVIVT01011616001, GSVIVT01031720001
OG0000566	ATR0559G275.1, ATR0665G173.1, ATR0757G219.1	GSVIVT01024973001
OG0000567	ATR0730G151.1, ATR0789G061.1	GSVIVT01008205001, GSVIVT01016806001
OG0000568	ATR0782G181.1, ATR1134G053.1	GSVIVT01009129001, GSVIVT01023285001
OG0000569	ATR0759G080.1, ATR0787G072.1	GSVIVT01025591001, GSVIVT01038244001
OG0000570	ATR0697G058.1, ATR0697G137.1, ATR0697G164.1	GSVIVT01030608001
OG0000571	ATR0043G014.1, ATR0043G025.1, ATR1120G070.1	GSVIVT01031787001
OG0000572	ATR0559G218.1, ATR0693G133.1, ATR0693G295.1	GSVIVT01017721001
OG0000573	ATR0751G008.1, ATR0751G056.1	GSVIVT01006763001, GSVIVT01014703001
OG0000574	ATR0580G323.1, ATR0681G355.1	GSVIVT01029218001, GSVIVT01035537001
OG0000575	ATR0100G006.1, ATR0100G061.1, ATR0338G001.1	GSVIVT01009525001
OG0000576	ATR0315G114.1, ATR0800G102.1	GSVIVT01007882001, GSVIVT01022694001
OG0000577	ATR0048G029.1, ATR0564G275.1, ATR0564G390.1	GSVIVT01017553001
OG0000578	ATR0665G502.1, ATR0827G081.1	GSVIVT01010329001, GSVIVT01026463001
OG0000579	ATR0796G179.1, ATR1152G059.1	GSVIVT01006654001, GSVIVT01028139001
OG0000580	ATR0193G027.1, ATR0782G221.1	GSVIVT01022969001, GSVIVT01025813001
OG0000581	ATR0626G118.1, ATR0706G180.1	GSVIVT01000002001, GSVIVT01017814001
OG0000582	ATR1153G013.1	GSVIVT01037825001, GSVIVT01037832001, GSVIVT01037833001
OG0000583	ATR0705G034.1, ATR0739G138.1	GSVIVT01009322001, GSVIVT01037808001
OG0000584	ATR0684G120.1, ATR1153G110.1	GSVIVT01001291001, GSVIVT01008930001
OG0000585	ATR0736G048.1, ATR0736G060.1, ATR0736G164.1	GSVIVT01027861001
OG0000586	ATR0225G027.1	GSVIVT01004254001, GSVIVT01007446001, GSVIVT01009575001
OG0000587	ATR0605G155.1, ATR0605G243.1	GSVIVT01025310001, GSVIVT01025321001
OG0000588	ATR0165G053.1, ATR0680G271.1, ATR0820G219.1	GSVIVT01034707001
OG0000589	ATR0624G126.1, ATR0684G034.1	GSVIVT01007845001, GSVIVT01032571001
OG0000590	ATR0782G174.1, ATR0782G200.1	GSVIVT01037380001, GSVIVT01037383001
OG0000591	ATR0568G028.1, ATR0693G209.1	GSVIVT01009747001, GSVIVT01028270001
OG0000592	ATR0691G297.1, ATR0733G074.1	GSVIVT01026269001, GSVIVT01034691001
OG0000593	ATR0083G068.1	GSVIVT01017173001, GSVIVT01017178001, GSVIVT01035796001
OG0000594	ATR0584G023.1, ATR0661G190.1	GSVIVT01011810001, GSVIVT01018820001
OG0000595	ATR0665G374.1, ATR0665G416.1, ATR0665G528.1	GSVIVT01021809001
OG0000596	ATR0559G177.1, ATR0559G223.1	GSVIVT01016528001, GSVIVT01024947001
OG0000597	ATR0081G051.1, ATR0579G020.1	GSVIVT01019699001, GSVIVT01027463001
OG0000598	ATR0582G142.1, ATR0582G326.1, ATR0582G349.1	GSVIVT01008668001
OG0000599	ATR0665G530.1, ATR0665G550.1	GSVIVT01034340001, GSVIVT01034341001
OG0000600	ATR0751G115.1	GSVIVT01014811001, GSVIVT01014829001, GSVIVT01014831001
OG0000601	ATR0605G261.1, ATR0739G116.1	GSVIVT01000114001, GSVIVT01000121001
OG0000602	ATR0618G118.1, ATR0618G410.1	GSVIVT01014257001, GSVIVT01021139001
OG0000603	ATR0759G019.1, ATR0787G113.1	GSVIVT01025600001, GSVIVT01028483001
OG0000604	ATR0099G097.1, ATR0693G072.1	GSVIVT01014999001, GSVIVT01028041001
OG0000605	ATR0787G142.1, ATR1098G104.1	GSVIVT01020514001, GSVIVT01029038001
OG0000606	ATR0019G048.1, ATR0804G064.1	GSVIVT01000142001, GSVIVT01030652001
OG0000607	ATR0584G255.1, ATR0661G575.1	GSVIVT01022275001, GSVIVT01034567001
OG0000608	ATR0585G082.1, ATR0743G101.1	GSVIVT01000780001, GSVIVT01004085001
OG0000609	ATR0048G037.1, ATR0712G035.1	GSVIVT01009943001, GSVIVT01016258001
OG0000610	ATR0680G413.1, ATR1147G009.1	GSVIVT01010596001, GSVIVT01031661001
OG0000611	ATR0559G111.1, ATR0680G133.1	GSVIVT01016553001, GSVIVT01038583001
OG0000612	ATR0580G093.1	GSVIVT01033136001, GSVIVT01033148001, GSVIVT01033162001
OG0000613	ATR0522G001.1, ATR0605G373.1, ATR0625G001.1	GSVIVT01023860001
OG0000614	ATR0215G014.1, ATR0751G183.1	GSVIVT01014860001, GSVIVT01019076001
OG0000615	ATR0820G039.1, ATR1149G052.1	GSVIVT01033777001, GSVIVT01034713001
OG0000616	ATR0661G323.1, ATR0681G260.1	GSVIVT01019397001, GSVIVT01028875001
OG0000617	ATR0712G136.1	GSVIVT01003333001, GSVIVT01003340001, GSVIVT01037751001
OG0000618	ATR0431G001.1, ATR0736G216.1	GSVIVT01021078001, GSVIVT01028640001
OG0000619	ATR0598G161.1, ATR0705G035.1	GSVIVT01017003001, GSVIVT01025385001
OG0000620	ATR0111G008.1	GSVIVT01001842001, GSVIVT01007521001, GSVIVT01010328001
OG0000621	ATR0716G007.1, ATR0733G166.1	GSVIVT01015190001, GSVIVT01015191001
OG0000622	ATR0618G399.1, ATR0680G215.1	GSVIVT01006444001, GSVIVT01033973001
OG0000623	ATR0680G276.1, ATR0680G378.1, ATR0810G014.1	GSVIVT01030384001
OG0000624	ATR0697G125.1, ATR1136G179.1	GSVIVT01010035001, GSVIVT01021094001
OG0000625	ATR0057G009.1, ATR0564G071.1	GSVIVT01002259001, GSVIVT01005812001
OG0000626	ATR0824G002.1, ATR1120G048.1	GSVIVT01007575001, GSVIVT01013677001
OG0000627	ATR0564G404.1, ATR0709G020.1, ATR0757G170.1	GSVIVT01030142001
OG0000628	ATR0733G023.1, ATR0807G221.1	GSVIVT01001308001, GSVIVT01027680001
OG0000629	ATR0691G062.1, ATR0691G201.1	GSVIVT01008179001, GSVIVT01008180001
OG0000630	ATR0564G477.1, ATR0626G245.1	GSVIVT01011061001, GSVIVT01015207001
OG0000631	ATR0561G065.1	GSVIVT01001809001, GSVIVT01010390001, GSVIVT01010392001
OG0000632	ATR0665G309.1, ATR0665G639.1	GSVIVT01020084001, GSVIVT01032603001
OG0000633	ATR0602G069.1, ATR0602G074.1	GSVIVT01021147001, GSVIVT01021149001
OG0000634	ATR0661G272.1, ATR1136G109.1, ATR1136G114.1	GSVIVT01008760001
OG0000635	ATR0012G002.1, ATR0314G002.1, ATR0602G174.1	GSVIVT01014250001
OG0000636	ATR0180G018.1, ATR0188G028.1	GSVIVT01001468001, GSVIVT01024024001
OG0000637	ATR0099G045.1, ATR0099G055.1, ATR0099G069.1	GSVIVT01015008001
OG0000638	ATR0730G010.1, ATR0807G140.1	GSVIVT01009282001, GSVIVT01011464001
OG0000639	ATR0005G001.1, ATR0618G181.1, ATR1088G016.1	GSVIVT01014602001
OG0000640	ATR0594G216.1, ATR1152G079.1	GSVIVT01025071001, GSVIVT01025610001
OG0000641	ATR0618G230.1	GSVIVT01002603001, GSVIVT01021859001, GSVIVT01029110001
OG0000642	ATR0580G051.1	GSVIVT01017302001, GSVIVT01017305001, GSVIVT01017307001
OG0000643	ATR0605G254.1, ATR0661G560.1	GSVIVT01016190001, GSVIVT01018882001
OG0000644	ATR0820G170.1, ATR0820G247.1	GSVIVT01036171001, GSVIVT01036173001
OG0000645	ATR0322G016.1, ATR1153G106.1	GSVIVT01001292001, GSVIVT01015522001
OG0000646	ATR0559G085.1, ATR0559G342.1	GSVIVT01034098001, GSVIVT01034101001
OG0000647	ATR0712G041.1, ATR0723G061.1, ATR0923G001.1	GSVIVT01003320001
OG0000648	ATR0618G043.1, ATR0618G089.1, ATR0618G378.1	GSVIVT01018992001
OG0000649	ATR0001G045.1, ATR0763G241.1	GSVIVT01033432001, GSVIVT01036716001
OG0000650	ATR0177G002.1	GSVIVT01008112001, GSVIVT01032915001, GSVIVT01033766001
OG0000651	ATR0580G192.1	GSVIVT01026135001, GSVIVT01038778001, GSVIVT01038782001
OG0000652	ATR0681G274.1, ATR0767G254.1	GSVIVT01009244001, GSVIVT01011157001
OG0000653	ATR0665G618.1, ATR0697G131.1	GSVIVT01024475001, GSVIVT01033402001
OG0000654	ATR0568G041.1, ATR0598G050.1	GSVIVT01011971001, GSVIVT01036888001
OG0000655	ATR0565G003.1, ATR0712G068.1	GSVIVT01003731001, GSVIVT01037754001
OG0000656	ATR0697G018.1, ATR0697G147.1	GSVIVT01012448001, GSVIVT01012450001
OG0000657	ATR0988G008.1	GSVIVT01009490001, GSVIVT01024176001, GSVIVT01031734001
OG0000658	ATR0584G079.1, ATR0796G035.1, ATR0796G140.1	GSVIVT01028256001
OG0000659	ATR0098G001.1, ATR0584G282.1, ATR1120G127.1	GSVIVT01031678001
OG0000660	ATR0088G020.1, ATR0691G185.1	GSVIVT01008361001, GSVIVT01009805001
OG0000661	ATR0006G088.1, ATR0626G394.1	GSVIVT01014774001, GSVIVT01016118001
OG0000662	ATR0680G022.1	GSVIVT01030377001, GSVIVT01030378001, GSVIVT01030380001
OG0000663	ATR0693G188.1, ATR1091G106.1	GSVIVT01013763001, GSVIVT01031274001
OG0000664	ATR1159G075.1	GSVIVT01025113001, GSVIVT01032692001, GSVIVT01033147001
OG0000665	ATR0332G022.1, ATR0580G216.1, ATR0580G318.1	GSVIVT01017836001
OG0000666	ATR0582G330.1, ATR0706G275.1	GSVIVT01001088001, GSVIVT01021983001
OG0000667	ATR0037G008.1, ATR0564G051.1	GSVIVT01011744001, GSVIVT01017118001
OG0000668	ATR0693G297.1	GSVIVT01028047001, GSVIVT01028048001, GSVIVT01028049001
OG0000669	ATR0033G035.1, ATR0059G037.1	GSVIVT01015220001, GSVIVT01030508001
OG0000670	ATR0326G042.1	GSVIVT01030917001, GSVIVT01030918001, GSVIVT01030920001
OG0000671	ATR0782G164.1	GSVIVT01009040001, GSVIVT01015726001, GSVIVT01020418001
OG0000672	ATR0051G052.1, ATR0665G370.1	GSVIVT01000763001, GSVIVT01036252001
OG0000673	ATR0138G021.1, ATR0527G001.1, ATR0582G058.1	GSVIVT01022332001
OG0000674	ATR0605G060.1, ATR0605G093.1, ATR1132G064.1	GSVIVT01008209001
OG0000675	ATR0559G166.1, ATR0559G229.1	GSVIVT01025002001, GSVIVT01034199001
OG0000676	ATR0691G084.1, ATR0824G175.1	GSVIVT01003990001, GSVIVT01010118001
OG0000677	ATR0564G100.1, ATR1096G145.1	GSVIVT01011929001, GSVIVT01036649001
OG0000678	ATR0598G026.1, ATR0757G092.1	GSVIVT01018490001, GSVIVT01035476001
OG0000679	ATR0561G072.1, ATR0697G029.1, ATR0787G063.1	GSVIVT01036760001
OG0000680	ATR0680G394.1, ATR0820G122.1	GSVIVT01027725001, GSVIVT01033764001
OG0000681	ATR0598G001.1, ATR0598G130.1, ATR0598G349.1	GSVIVT01015100001
OG0000682	ATR0097G017.1, ATR0661G522.1, ATR0796G073.1	GSVIVT01031183001
OG0000683	ATR0820G111.1, ATR0820G272.1	GSVIVT01026055001, GSVIVT01036091001
OG0000684	ATR0118G021.1, ATR1149G137.1	GSVIVT01020219001, GSVIVT01038736001
OG0000685	ATR0665G162.1, ATR0665G209.1, ATR0665G558.1	GSVIVT01018184001
OG0000686	ATR0090G042.1, ATR0582G243.1	GSVIVT01018752001, GSVIVT01032989001
OG0000687	ATR0661G367.1, ATR0733G083.1	GSVIVT01026982001, GSVIVT01031962001
OG0000688	ATR0376G001.1, ATR0665G410.1	GSVIVT01011354001, GSVIVT01011355001
OG0000689	ATR0776G073.1, ATR0796G235.1	GSVIVT01015158001, GSVIVT01036136001
OG0000690	ATR1136G096.1, ATR1136G202.1, ATR1136G204.1	GSVIVT01026009001
OG0000691	ATR0081G009.1, ATR0081G044.1	GSVIVT01011286001, GSVIVT01033830001
OG0000692	ATR0068G061.1, ATR0693G453.1	GSVIVT01014405001, GSVIVT01019952001
OG0000693	ATR0605G240.1, ATR0691G305.1	GSVIVT01018258001, GSVIVT01038145001
OG0000694	ATR0580G341.1, ATR0712G154.1, ATR0712G166.1	GSVIVT01023731001
OG0000695	ATR0068G048.1, ATR0111G037.1, ATR0564G160.1	GSVIVT01011491001
OG0000696	ATR0579G122.1	GSVIVT01018758001, GSVIVT01018759001, GSVIVT01018760001
OG0000697	ATR0782G095.1, ATR0829G082.1, ATR1127G010.1	GSVIVT01015776001
OG0000698	ATR0598G072.1, ATR0829G078.1	GSVIVT01013086001, GSVIVT01013090001
OG0000699	ATR0559G022.1	GSVIVT01016524001, GSVIVT01024936001, GSVIVT01034156001
OG0000700	ATR0559G192.1	GSVIVT01016538001, GSVIVT01024986001, GSVIVT01034189001
OG0000701	ATR0584G001.1, ATR0584G109.1, ATR0584G235.1	GSVIVT01022381001
OG0000702	ATR0199G016.1, ATR0751G272.1	GSVIVT01000570001, GSVIVT01007601001
OG0000703	ATR1093G008.1, ATR1127G013.1	GSVIVT01028732001, GSVIVT01032651001
OG0000704	ATR0580G214.1, ATR0618G152.1	GSVIVT01024752001, GSVIVT01029237001
OG0000705	ATR0177G038.1, ATR0580G299.1	GSVIVT01012222001, GSVIVT01015987001
OG0000706	ATR0582G079.1, ATR0706G019.1	GSVIVT01017779001, GSVIVT01032970001
OG0000707	ATR0584G201.1, ATR0810G288.1	GSVIVT01009904001, GSVIVT01034488001
OG0000708	ATR0580G207.1, ATR0721G061.1	GSVIVT01033841001, GSVIVT01036128001
OG0000709	ATR0598G305.1, ATR0787G023.1	GSVIVT01015094001, GSVIVT01028444001
OG0000710	ATR0743G034.1	GSVIVT01002351001, GSVIVT01004411001, GSVIVT01006342001
OG0000711	ATR0665G305.1, ATR0724G051.1, ATR0724G092.1	GSVIVT01018153001
OG0000712	ATR0751G025.1	GSVIVT01004113001, GSVIVT01004331001, GSVIVT01004440001
OG0000713	ATR0693G314.1, ATR0827G062.1	GSVIVT01008143001, GSVIVT01030583001
OG0000714	ATR0180G022.1, ATR0584G140.1, ATR0584G264.1	GSVIVT01034574001
OG0000715	ATR0598G165.1, ATR0598G348.1	GSVIVT01009396001, GSVIVT01035131001
OG0000716	ATR0737G023.1, ATR0737G128.1	GSVIVT01014343001, GSVIVT01020551001
OG0000717	ATR0099G033.1, ATR0099G068.1, ATR0665G348.1	GSVIVT01010022001
OG0000718	ATR1136G211.1	GSVIVT01004822001, GSVIVT01004827001, GSVIVT01004835001
OG0000719	ATR0661G172.1, ATR0807G064.1	GSVIVT01009276001, GSVIVT01009278001
OG0000720	ATR0737G027.1, ATR0737G032.1, ATR0737G172.1	GSVIVT01006000001
OG0000721	ATR0561G273.1	GSVIVT01008556001, GSVIVT01010522001, GSVIVT01033064001
OG0000722	ATR0697G212.1, ATR0807G130.1	GSVIVT01013407001, GSVIVT01015825001
OG0000723	ATR0584G034.1, ATR0810G023.1	GSVIVT01009903001, GSVIVT01024106001
OG0000724	ATR0559G086.1, ATR0681G051.1	GSVIVT01016563001, GSVIVT01030358001
OG0000725	ATR0165G061.1, ATR0736G209.1	GSVIVT01000169001, GSVIVT01028347001
OG0000726	ATR1091G022.1, ATR1091G060.1	GSVIVT01007735001, GSVIVT01013761001
OG0000727	ATR0579G136.1, ATR1134G065.1	GSVIVT01009936001, GSVIVT01024041001
OG0000728	ATR0317G042.1, ATR0691G214.1	GSVIVT01010149001, GSVIVT01017032001
OG0000729	ATR0730G180.1	GSVIVT01002014001, GSVIVT01006954001, GSVIVT01007211001
OG0000730	ATR0609G089.1, ATR0739G069.1	GSVIVT01001833001, GSVIVT01009335001
OG0000731	ATR0680G357.1, ATR1128G039.1	GSVIVT01007271001, GSVIVT01028986001
OG0000732	ATR0314G003.1, ATR0721G056.1, ATR0759G071.1	GSVIVT01000260001
OG0000733	ATR0686G059.1, ATR0686G079.1, ATR0686G133.1	GSVIVT01001973001
OG0000734	ATR1149G092.1, ATR1149G107.1, ATR1149G144.1	GSVIVT01037773001
OG0000735	ATR0665G048.1, ATR0789G139.1	GSVIVT01006037001, GSVIVT01035343001
OG0000736	ATR0693G455.1, ATR0757G127.1	GSVIVT01019821001, GSVIVT01034988001
OG0000737	ATR0680G406.1	GSVIVT01028935001, GSVIVT01028936001, GSVIVT01028938001
OG0000738	ATR0705G033.1, ATR0705G050.1	GSVIVT01035633001, GSVIVT01035636001
OG0000739	ATR0767G067.1, ATR0767G102.1, ATR0767G157.1	GSVIVT01026987001
OG0000740	ATR0561G129.1, ATR0751G215.1	GSVIVT01008517001, GSVIVT01014838001
OG0000741	ATR1136G001.1, ATR1152G042.1	GSVIVT01032437001, GSVIVT01035240001
OG0000742	ATR0152G022.1, ATR0332G030.1	GSVIVT01033288001, GSVIVT01034493001
OG0000743	ATR0317G002.1	GSVIVT01001959001, GSVIVT01004716001, GSVIVT01006991001
OG0000744	ATR0693G381.1, ATR0759G062.1	GSVIVT01012727001, GSVIVT01025650001
OG0000745	ATR0083G049.1, ATR0661G127.1	GSVIVT01019687001, GSVIVT01024195001
OG0000746	ATR0697G215.1	GSVIVT01025479001, GSVIVT01025480001, GSVIVT01025484001
OG0000747	ATR0789G026.1, ATR0789G103.1, ATR0789G149.1	GSVIVT01016899001
OG0000748	ATR0763G007.1, ATR0763G076.1	GSVIVT01019835001, GSVIVT01019840001
OG0000749	ATR0739G154.1, ATR0824G039.1	GSVIVT01003474001, GSVIVT01035968001
OG0000750	ATR0626G010.1, ATR0626G288.1	GSVIVT01012540001, GSVIVT01023703001
OG0000751	ATR0693G355.1, ATR0743G155.1	GSVIVT01010745001, GSVIVT01031564001
OG0000752	ATR0602G114.1	GSVIVT01038695001, GSVIVT01038696001, GSVIVT01038697001
OG0000753	ATR0767G123.1	GSVIVT01000236001, GSVIVT01002693001, GSVIVT01003609001
OG0000754	ATR0594G099.1, ATR0829G085.1	GSVIVT01022644001, GSVIVT01029357001
OG0000755	ATR0111G029.1, ATR0111G035.1	GSVIVT01037165001, GSVIVT01037170001
OG0000756	ATR0584G026.1	GSVIVT01000315001, GSVIVT01030928001, GSVIVT01038034001
OG0000757	ATR0767G002.1	GSVIVT01004476001, GSVIVT01007135001, GSVIVT01009183001
OG0000758	ATR0680G384.1	GSVIVT01028879001, GSVIVT01028882001, GSVIVT01028885001
OG0000759	ATR0048G042.1, ATR0763G013.1	GSVIVT01013615001, GSVIVT01025213001
OG0000760	ATR0584G169.1, ATR0804G067.1, ATR1134G067.1	GSVIVT01014548001
OG0000761	ATR0580G201.1, ATR1101G103.1	GSVIVT01003207001, GSVIVT01003208001
OG0000762	ATR0049G039.1, ATR0721G145.1	GSVIVT01013170001, GSVIVT01028756001
OG0000763	ATR0598G106.1, ATR0697G149.1	GSVIVT01015063001, GSVIVT01029961001
OG0000764	ATR0789G049.1, ATR0789G053.1	GSVIVT01016881001, GSVIVT01016883001
OG0000765	ATR0789G007.1	GSVIVT01003163001, GSVIVT01009426001, GSVIVT01009427001
OG0000766	ATR0580G247.1, ATR0580G330.1, ATR0602G296.1	GSVIVT01025577001
OG0000767	ATR0804G030.1	GSVIVT01018322001, GSVIVT01018323001, GSVIVT01018325001
OG0000768	ATR0736G214.1, ATR1089G086.1	GSVIVT01029085001, GSVIVT01036381001
OG0000769	ATR0743G090.1	GSVIVT01014514001, GSVIVT01026349001, GSVIVT01028495001
OG0000770	ATR0697G287.1, ATR0796G054.1	GSVIVT01017669001, GSVIVT01037540001
OG0000771	ATR0598G097.1, ATR0598G324.1, ATR1132G110.1	GSVIVT01014328001
OG0000772	ATR0068G014.1, ATR0564G508.1	GSVIVT01011445001, GSVIVT01033374001
OG0000773	ATR0618G444.1	GSVIVT01005266001, GSVIVT01035186001, GSVIVT01035188001
OG0000774	ATR0006G062.1, ATR0626G124.1	GSVIVT01014994001, GSVIVT01029452001
OG0000775	ATR0680G316.1, ATR0820G006.1	GSVIVT01027728001, GSVIVT01031410001
OG0000776	ATR0626G139.1	GSVIVT01011112001, GSVIVT01011113001, GSVIVT01011114001
OG0000777	ATR0057G072.1, ATR0705G212.1	GSVIVT01015328001, GSVIVT01018220001
OG0000778	ATR0580G456.1, ATR0602G181.1	GSVIVT01004707001, GSVIVT01018158001
OG0000779	ATR0144G004.1	GSVIVT01004405001, GSVIVT01008305001, GSVIVT01009234001
OG0000780	ATR0580G015.1, ATR0730G015.1	GSVIVT01016074001, GSVIVT01032461001
OG0000781	ATR0564G058.1	GSVIVT01011690001, GSVIVT01011692001, GSVIVT01011694001
OG0000782	ATR0697G192.1, ATR0772G061.1	GSVIVT01017984001, GSVIVT01034649001
OG0000783	ATR0030G019.1	GSVIVT01037871001, GSVIVT01037872001, GSVIVT01037873001
OG0000784	ATR0559G189.1, ATR0680G040.1	GSVIVT01024950001, GSVIVT01025716001
OG0000785	ATR0580G008.1, ATR1159G073.1	GSVIVT01008198001, GSVIVT01025122001
OG0000786	ATR0753G074.1	GSVIVT01029901001, GSVIVT01029912001, GSVIVT01029913001
OG0000787	ATR0820G011.1, ATR0820G035.1, ATR0820G077.1	GSVIVT01036177001
OG0000788	ATR0144G018.1, ATR0315G047.1	GSVIVT01009238001, GSVIVT01017046001
OG0000789	ATR0763G210.1	GSVIVT01008778001, GSVIVT01021728001, GSVIVT01021741001
OG0000790	ATR0743G082.1, ATR0804G006.1	GSVIVT01003999001, GSVIVT01014551001
OG0000791	ATR0582G114.1, ATR0757G140.1	GSVIVT01008619001, GSVIVT01027519001
OG0000792	ATR0113G010.1, ATR1145G058.1	GSVIVT01025033001, GSVIVT01031469001
OG0000793	ATR0680G256.1, ATR0751G080.1	GSVIVT01014847001, GSVIVT01029435001
OG0000794	ATR0665G338.1	GSVIVT01004595001, GSVIVT01005915001, GSVIVT01005917001
OG0000795	ATR0602G209.1, ATR0776G075.1	GSVIVT01020687001, GSVIVT01022346001
OG0000796	ATR0130G010.1, ATR0787G201.1	GSVIVT01021383001, GSVIVT01028423001
OG0000797	ATR1094G001.1, ATR1094G019.1	GSVIVT01006138001, GSVIVT01012122001
OG0000798	ATR0661G159.1	GSVIVT01026991001, GSVIVT01026993001, GSVIVT01028874001
OG0000799	ATR0317G085.1, ATR0626G108.1	GSVIVT01010864001, GSVIVT01011704001
OG0000800	ATR0068G024.1, ATR0906G001.1, ATR0906G002.1	GSVIVT01025508001
OG0000801	ATR0661G278.1, ATR0661G576.1	GSVIVT01025425001, GSVIVT01025428001
OG0000802	ATR0582G160.1, ATR0759G085.1, ATR1159G049.1	GSVIVT01001133001
OG0000803	ATR0680G094.1	GSVIVT01019749001, GSVIVT01026928001, GSVIVT01028914001
OG0000804	ATR1093G016.1, ATR1127G076.1	GSVIVT01019425001, GSVIVT01029844001
OG0000805	ATR0030G056.1, ATR0598G027.1, ATR0757G182.1	GSVIVT01015069001
OG0000806	ATR0589G064.1, ATR0686G244.1, ATR0762G040.1	GSVIVT01032408001
OG0000807	ATR0564G068.1, ATR0712G135.1	GSVIVT01007832001, GSVIVT01032583001
OG0000808	ATR0661G123.1	GSVIVT01005188001, GSVIVT01006889001, GSVIVT01023992001
OG0000809	ATR0691G241.1, ATR0751G019.1	GSVIVT01014701001, GSVIVT01030113001
OG0000810	ATR0022G057.1, ATR0665G587.1, ATR0753G037.1	GSVIVT01023241001
OG0000811	ATR0564G397.1	GSVIVT01003083001, GSVIVT01003087001, GSVIVT01013334001
OG0000812	ATR1096G047.1, ATR1096G066.1, ATR1096G149.1	GSVIVT01033642001
OG0000813	ATR0730G120.1	GSVIVT01016352001, GSVIVT01025100001, GSVIVT01025548001
OG0000814	ATR0064G118.1, ATR0661G424.1	GSVIVT01011098001, GSVIVT01011492001
OG0000815	ATR0589G040.1, ATR0589G060.1	GSVIVT01027069001, GSVIVT01028718001
OG0000816	ATR0684G003.1	GSVIVT01002136001, GSVIVT01002949001, GSVIVT01003413001
OG0000817	ATR0618G180.1, ATR0752G205.1	GSVIVT01004801001, GSVIVT01010212001
OG0000818	ATR0749G057.1, ATR1102G066.1	GSVIVT01008413001, GSVIVT01035409001
OG0000819	ATR0752G232.1	GSVIVT01018584001, GSVIVT01018591001, GSVIVT01018593001
OG0000820	ATR0705G145.1	GSVIVT01015308001, GSVIVT01016988001, GSVIVT01016995001
OG0000821	ATR0736G011.1, ATR0736G169.1	GSVIVT01012486001, GSVIVT01016794001
OG0000822	ATR0320G006.1	GSVIVT01015997001, GSVIVT01016005001, GSVIVT01016007001
OG0000823	ATR0068G086.1, ATR0124G016.1	GSVIVT01033379001, GSVIVT01034344001
OG0000824	ATR0598G113.1, ATR0751G092.1, ATR0827G168.1	GSVIVT01010170001
OG0000825	ATR0737G122.1, ATR1136G059.1	GSVIVT01021099001, GSVIVT01023238001
OG0000826	ATR0706G249.1, ATR0706G263.1	GSVIVT01010940001, GSVIVT01010942001
OG0000827	ATR0763G193.1	GSVIVT01012087001, GSVIVT01012089001, GSVIVT01012092001
OG0000828	ATR0697G188.1	GSVIVT01022498001, GSVIVT01034603001, GSVIVT01037528001
OG0000829	ATR0706G266.1, ATR0737G107.1	GSVIVT01028084001, GSVIVT01036683001
OG0000830	ATR1125G052.1	GSVIVT01008293001, GSVIVT01008294001, GSVIVT01014057001
OG0000831	ATR0739G178.1, ATR0749G056.1	GSVIVT01016851001, GSVIVT01035970001
OG0000832	ATR0049G005.1, ATR0605G127.1	GSVIVT01013200001, GSVIVT01013426001
OG0000833	ATR0598G173.1, ATR0598G250.1	GSVIVT01033479001, GSVIVT01033486001
OG0000834	ATR0579G028.1, ATR0796G195.1	GSVIVT01027399001, GSVIVT01027401001
OG0000835	ATR0208G023.1, ATR0661G218.1	GSVIVT01000162001, GSVIVT01009348001
OG0000836	ATR0332G076.1, ATR0739G083.1	GSVIVT01031394001, GSVIVT01033788001
OG0000837	ATR1132G014.1, ATR1152G092.1	GSVIVT01007689001, GSVIVT01025723001
OG0000838	ATR0568G008.1, ATR0706G089.1	GSVIVT01014402001, GSVIVT01036869001
OG0000839	ATR0594G077.1	GSVIVT01025083001, GSVIVT01025559001, GSVIVT01032639001
OG0000840	ATR0794G036.1, ATR0794G136.1	GSVIVT01002813001, GSVIVT01021084001
OG0000841	ATR0697G080.1, ATR1127G156.1	GSVIVT01025492001, GSVIVT01029835001
OG0000842	ATR0580G133.1, ATR1098G029.1	GSVIVT01021505001, GSVIVT01035518001
OG0000843	ATR1152G066.1, ATR1152G096.1	GSVIVT01007713001, GSVIVT01013799001
OG0000844	ATR0026G018.1, ATR0665G634.1	GSVIVT01013249001, GSVIVT01035328001
OG0000845	ATR0561G153.1, ATR0712G171.1	GSVIVT01021031001, GSVIVT01037766001
OG0000846	ATR0053G029.1	GSVIVT01015058001, GSVIVT01015059001, GSVIVT01015060001
OG0000847	ATR0686G106.1, ATR0800G033.1	GSVIVT01030134001, GSVIVT01035880001
OG0000848	ATR0307G047.1	GSVIVT01000887001, GSVIVT01001940001, GSVIVT01037434001
OG0000849	ATR1102G021.1	GSVIVT01011701001, GSVIVT01016119001, GSVIVT01034730001
OG0000850	ATR0661G157.1, ATR1159G026.1	GSVIVT01023967001, GSVIVT01025114001
OG0000851	ATR0820G061.1	GSVIVT01026621001, GSVIVT01026626001, GSVIVT01026627001
