	Atr.cds
GF04148	ATR1019G001.1
GF04149	ATR0602G019.1
GF04150	ATR0479G001.1
GF04151	ATR0584G005.1
GF04152	ATR0068G109.1
GF04153	ATR0564G024.1
GF04154	ATR0794G131.1
GF04155	ATR0559G153.1
GF04156	ATR1044G003.1
GF04157	ATR0705G045.1
GF04158	ATR0739G020.1
GF04159	ATR1134G002.1
GF04160	ATR0733G096.1
GF04161	ATR0171G035.1
GF04162	ATR0026G034.1
GF04163	ATR0585G060.1
GF04164	ATR0099G013.1
GF04165	ATR0691G197.1
GF04166	ATR1127G109.1
GF04167	ATR0998G002.1
GF04168	ATR0763G012.1
GF04169	ATR0582G006.1
GF04170	ATR1153G001.1
GF04171	ATR0753G106.1
GF04172	ATR0149G014.1
GF04173	ATR0559G101.1
GF04174	ATR0820G159.1
GF04175	ATR0751G221.1
GF04176	ATR0561G207.1
GF04177	ATR0697G045.1
GF04178	ATR0001G057.1
GF04179	ATR0807G102.1
GF04180	ATR0618G253.1
GF04181	ATR0723G095.1
GF04182	ATR0058G003.1
GF04183	ATR0661G294.1
GF04184	ATR1089G004.1
GF04185	ATR0767G209.1
GF04186	ATR0680G076.1
GF04187	ATR0820G189.1
GF04188	ATR0820G080.1
GF04189	ATR0705G147.1
GF04190	ATR0602G091.1
GF04191	ATR0582G186.1
GF04192	ATR0794G107.1
GF04193	ATR0661G540.1
GF04194	ATR0580G379.1
GF04195	ATR0824G122.1
GF04196	ATR0810G281.1
GF04197	ATR0820G297.1
GF04198	ATR1093G015.1
GF04199	ATR0016G013.1
GF04200	ATR0736G150.1
GF04201	ATR0665G418.1
GF04202	ATR0807G067.1
GF04203	ATR0800G091.1
GF04204	ATR0580G304.1
GF04205	ATR0705G131.1
GF04206	ATR0579G143.1
GF04207	ATR0317G059.1
GF04208	ATR0564G274.1
GF04209	ATR0767G116.1
GF04210	ATR0751G208.1
GF04211	ATR0561G180.1
GF04212	ATR0686G211.1
GF04213	ATR0789G010.1
GF04214	ATR0332G017.1
GF04215	ATR0049G086.1
GF04216	ATR0580G378.1
GF04217	ATR0178G012.1
GF04218	ATR0665G088.1
GF04219	ATR0584G136.1
GF04220	ATR1127G002.1
GF04221	ATR0691G287.1
GF04222	ATR0691G027.1
GF04223	ATR0697G281.1
GF04224	ATR0739G150.1
GF04225	ATR1127G031.1
GF04226	ATR0564G108.1
GF04227	ATR0584G189.1
GF04228	ATR0681G036.1
GF04229	ATR0723G040.1
GF04230	ATR0618G019.1
GF04231	ATR0736G185.1
GF04232	ATR0594G207.1
GF04233	ATR0661G019.1
GF04234	ATR0618G113.1
GF04235	ATR0737G161.1
GF04236	ATR0559G063.1
GF04237	ATR0043G057.1
GF04238	ATR0193G028.1
GF04239	ATR1149G117.1
GF04240	ATR1098G098.1
GF04241	ATR0820G104.1
GF04242	ATR1124G001.1
GF04243	ATR0705G093.1
GF04244	ATR1152G034.1
GF04245	ATR0208G021.1
GF04246	ATR0661G120.1
GF04247	ATR0743G273.1
GF04248	ATR0618G364.1
GF04249	ATR0706G092.1
GF04250	ATR1128G123.1
GF04251	ATR0594G127.1
GF04252	ATR0681G043.1
GF04253	ATR0561G164.1
GF04254	ATR0693G048.1
GF04255	ATR0620G019.1
GF04256	ATR1091G047.1
GF04257	ATR0568G195.1
GF04258	ATR0800G152.1
GF04259	ATR0762G053.1
GF04260	ATR0528G001.1
GF04261	ATR0827G106.1
GF04262	ATR1128G109.1
GF04263	ATR0736G226.1
GF04264	ATR0559G093.1
GF04265	ATR0739G203.1
GF04266	ATR0193G011.1
GF04267	ATR0763G066.1
GF04268	ATR0021G036.1
GF04269	ATR0815G004.1
GF04270	ATR1132G005.1
GF04271	ATR1127G151.1
GF04272	ATR0706G213.1
GF04273	ATR1131G001.1
GF04274	ATR0697G035.1
GF04275	ATR1091G044.1
GF04276	ATR1089G036.1
GF04277	ATR0057G079.1
GF04278	ATR0626G164.1
GF04279	ATR0564G084.1
GF04280	ATR0681G314.1
GF04281	ATR0073G007.1
GF04282	ATR0716G031.1
GF04283	ATR0776G029.1
GF04284	ATR0686G169.1
GF04285	ATR0057G068.1
GF04286	ATR0580G047.1
GF04287	ATR0794G074.1
GF04288	ATR0716G006.1
GF04289	ATR0693G223.1
GF04290	ATR0810G218.1
GF04291	ATR0626G192.1
GF04292	ATR0629G069.1
GF04293	ATR0001G037.1
GF04294	ATR0188G022.1
GF04295	ATR0763G267.1
GF04296	ATR0580G116.1
GF04297	ATR0568G210.1
GF04298	ATR1102G057.1
GF04299	ATR0737G104.1
GF04300	ATR0716G088.1
GF04301	ATR0693G403.1
GF04302	ATR0706G051.1
GF04303	ATR0680G292.1
GF04304	ATR0001G006.1
GF04305	ATR0605G241.1
GF04306	ATR0815G072.1
GF04307	ATR1152G071.1
GF04308	ATR0665G167.1
GF04309	ATR0723G093.1
GF04310	ATR0684G020.1
GF04311	ATR0680G290.1
GF04312	ATR0706G131.1
GF04313	ATR0326G051.1
GF04314	ATR0686G071.1
GF04315	ATR0580G339.1
GF04316	ATR0820G239.1
GF04317	ATR0752G224.1
GF04318	ATR0753G070.1
GF04319	ATR1131G018.1
GF04320	ATR0580G061.1
GF04321	ATR0579G121.1
GF04322	ATR0559G333.1
GF04323	ATR0776G034.1
GF04324	ATR1156G076.1
GF04325	ATR0019G037.1
GF04326	ATR0810G289.1
GF04327	ATR0681G328.1
GF04328	ATR0709G089.1
GF04329	ATR0665G105.1
GF04330	ATR0921G007.1
GF04331	ATR0721G039.1
GF04332	ATR1120G167.1
GF04333	ATR0810G071.1
GF04334	ATR0579G031.1
GF04335	ATR1132G062.1
GF04336	ATR0716G034.1
GF04337	ATR1153G107.1
GF04338	ATR0317G094.1
GF04339	ATR0751G135.1
GF04340	ATR0307G023.1
GF04341	ATR0730G158.1
GF04342	ATR1153G048.1
GF04343	ATR0730G141.1
GF04344	ATR0691G198.1
GF04345	ATR0559G023.1
GF04346	ATR0317G074.1
GF04347	ATR0561G142.1
GF04348	ATR0012G050.1
GF04349	ATR0099G058.1
GF04350	ATR0174G030.1
GF04351	ATR0686G100.1
GF04352	ATR0693G305.1
GF04353	ATR0724G055.1
GF04354	ATR0605G122.1
GF04355	ATR0147G016.1
GF04356	ATR0059G024.1
GF04357	ATR0665G345.1
GF04358	ATR0057G113.1
GF04359	ATR1091G101.1
GF04360	ATR0994G002.1
GF04361	ATR0037G043.1
GF04362	ATR0199G023.1
GF04363	ATR0211G001.1
GF04364	ATR0049G012.1
GF04365	ATR0782G119.1
GF04366	ATR0948G001.1
GF04367	ATR0594G138.1
GF04368	ATR0665G248.1
GF04369	ATR0665G378.1
GF04370	ATR0697G003.1
GF04371	ATR0225G040.1
GF04372	ATR0197G016.1
GF04373	ATR1089G035.1
GF04374	ATR0693G113.1
GF04375	ATR0721G031.1
GF04376	ATR0745G085.1
GF04377	ATR0584G173.1
GF04378	ATR0665G648.1
GF04379	ATR0177G021.1
GF04380	ATR0564G495.1
GF04381	ATR0513G001.1
GF04382	ATR0800G163.1
GF04383	ATR0665G628.1
GF04384	ATR0621G002.1
GF04385	ATR0737G157.1
GF04386	ATR0150G018.1
GF04387	ATR0759G038.1
GF04388	ATR0757G109.1
GF04389	ATR0751G016.1
GF04390	ATR0561G070.1
GF04391	ATR1136G127.1
GF04392	ATR0810G143.1
GF04393	ATR0022G038.1
GF04394	ATR1132G087.1
GF04395	ATR0043G004.1
GF04396	ATR0849G001.1
GF04397	ATR0686G179.1
GF04398	ATR0757G167.1
GF04399	ATR0049G003.1
GF04400	ATR0680G399.1
GF04401	ATR0827G034.1
GF04402	ATR0820G276.1
GF04403	ATR0030G040.1
GF04404	ATR0829G018.1
GF04405	ATR0598G004.1
GF04406	ATR0721G095.1
GF04407	ATR0580G343.1
GF04408	ATR0661G327.1
GF04409	ATR0624G086.1
GF04410	ATR0568G034.1
GF04411	ATR0582G041.1
GF04412	ATR0800G019.1
GF04413	ATR0307G060.1
GF04414	ATR0561G002.1
GF04415	ATR1096G052.1
GF04416	ATR0568G084.1
GF04417	ATR0582G202.1
GF04418	ATR0736G176.1
GF04419	ATR0564G396.1
GF04420	ATR0307G132.1
GF04421	ATR0064G116.1
GF04422	ATR0033G036.1
GF04423	ATR0006G035.1
GF04424	ATR0304G047.1
GF04425	ATR0585G088.1
GF04426	ATR0580G016.1
GF04427	ATR0661G113.1
GF04428	ATR0737G165.1
GF04429	ATR0661G400.1
GF04430	ATR0681G083.1
GF04431	ATR0737G108.1
GF04432	ATR0767G112.1
GF04433	ATR0620G149.1
GF04434	ATR0322G061.1
GF04435	ATR1120G168.1
GF04436	ATR0124G049.1
GF04437	ATR0695G001.1
GF04438	ATR0001G023.1
GF04439	ATR0178G023.1
GF04440	ATR0743G042.1
GF04441	ATR1096G138.1
GF04442	ATR0661G138.1
GF04443	ATR0618G120.1
GF04444	ATR0737G119.1
GF04445	ATR0559G186.1
GF04446	ATR0564G176.1
GF04447	ATR0681G200.1
GF04448	ATR0820G031.1
GF04449	ATR0180G030.1
GF04450	ATR0807G143.1
GF04451	ATR0749G033.1
GF04452	ATR0736G042.1
GF04453	ATR0776G100.1
GF04454	ATR0807G150.1
GF04455	ATR0759G008.1
GF04456	ATR0030G005.1
GF04457	ATR0073G022.1
GF04458	ATR0561G194.1
GF04459	ATR0691G291.1
GF04460	ATR1149G008.1
GF04461	ATR0706G042.1
GF04462	ATR0104G018.1
GF04463	ATR0026G041.1
GF04464	ATR0680G190.1
GF04465	ATR0037G004.1
GF04466	ATR0665G229.1
GF04467	ATR0059G017.1
GF04468	ATR0174G005.1
GF04469	ATR0820G013.1
GF04470	ATR0069G042.1
GF04471	ATR0097G006.1
GF04472	ATR1145G086.1
GF04473	ATR0057G105.1
GF04474	ATR0661G270.1
GF04475	ATR0743G272.1
GF04476	ATR0829G075.1
GF04477	ATR0618G327.1
GF04478	ATR0789G148.1
GF04479	ATR1155G021.1
GF04480	ATR0033G013.1
GF04481	ATR0115G018.1
GF04482	ATR0684G040.1
GF04483	ATR0598G235.1
GF04484	ATR0739G100.1
GF04485	ATR0605G035.1
GF04486	ATR0199G032.1
GF04487	ATR0665G070.1
GF04488	ATR0665G134.1
GF04489	ATR0044G004.1
GF04490	ATR0744G001.1
GF04491	ATR0564G035.1
GF04492	ATR0626G375.1
GF04493	ATR0680G058.1
GF04494	ATR1155G042.1
GF04495	ATR0787G079.1
GF04496	ATR0693G152.1
GF04497	ATR1120G094.1
GF04498	ATR0307G049.1
GF04499	ATR0081G059.1
GF04500	ATR0661G053.1
GF04501	ATR0559G077.1
GF04502	ATR0680G367.1
GF04503	ATR0686G138.1
GF04504	ATR0680G100.1
GF04505	ATR0319G001.1
GF04506	ATR0753G138.1
GF04507	ATR0706G286.1
GF04508	ATR0594G137.1
GF04509	ATR0712G132.1
GF04510	ATR0605G091.1
GF04511	ATR0820G017.1
GF04512	ATR0693G192.1
GF04513	ATR0681G007.1
GF04514	ATR0712G107.1
GF04515	ATR0068G041.1
GF04516	ATR0088G003.1
GF04517	ATR0121G008.1
GF04518	ATR0626G054.1
GF04519	ATR0317G069.1
GF04520	ATR0584G022.1
GF04521	ATR0787G203.1
GF04522	ATR0810G103.1
GF04523	ATR0810G106.1
GF04524	ATR0618G442.1
GF04525	ATR0815G028.1
GF04526	ATR0767G170.1
GF04527	ATR1136G137.1
GF04528	ATR0329G006.1
GF04529	ATR0927G005.1
GF04530	ATR0807G133.1
GF04531	ATR1127G017.1
GF04532	ATR0022G065.1
GF04533	ATR0810G198.1
GF04534	ATR0697G052.1
GF04535	ATR0827G086.1
GF04536	ATR0225G026.1
GF04537	ATR1131G034.1
GF04538	ATR0559G227.1
GF04539	ATR0684G161.1
GF04540	ATR0317G062.1
GF04541	ATR1088G013.1
GF04542	ATR1145G068.1
GF04543	ATR0759G024.1
GF04544	ATR0618G370.1
GF04545	ATR0751G188.1
GF04546	ATR0068G009.1
GF04547	ATR0807G049.1
GF04548	ATR0706G013.1
GF04549	ATR1102G009.1
GF04550	ATR1134G115.1
GF04551	ATR1145G096.1
GF04552	ATR0088G058.1
GF04553	ATR0767G186.1
GF04554	ATR0709G083.1
GF04555	ATR0661G068.1
GF04556	ATR0594G132.1
GF04557	ATR0681G097.1
GF04558	ATR0661G197.1
GF04559	ATR0317G043.1
GF04560	ATR1089G046.1
GF04561	ATR0684G087.1
GF04562	ATR0564G436.1
GF04563	ATR0115G031.1
GF04564	ATR0078G009.1
GF04565	ATR0307G123.1
GF04566	ATR0693G011.1
GF04567	ATR0820G221.1
GF04568	ATR0829G043.1
GF04569	ATR0810G159.1
GF04570	ATR0171G013.1
GF04571	ATR0767G079.1
GF04572	ATR0716G026.1
GF04573	ATR0051G050.1
GF04574	ATR1089G102.1
GF04575	ATR0624G054.1
GF04576	ATR0665G254.1
GF04577	ATR0767G256.1
GF04578	ATR1089G017.1
GF04579	ATR0165G041.1
GF04580	ATR0598G076.1
GF04581	ATR0807G036.1
GF04582	ATR0307G059.1
GF04583	ATR0772G050.1
GF04584	ATR0743G279.1
GF04585	ATR1152G051.1
GF04586	ATR0681G271.1
GF04587	ATR0772G068.1
GF04588	ATR0605G343.1
GF04589	ATR0927G008.1
GF04590	ATR0314G007.1
GF04591	ATR0776G076.1
GF04592	ATR0705G134.1
GF04593	ATR1145G051.1
GF04594	ATR0064G025.1
GF04595	ATR0626G408.1
GF04596	ATR0681G150.1
GF04597	ATR0680G304.1
GF04598	ATR0691G209.1
GF04599	ATR1125G084.1
GF04600	ATR0680G099.1
GF04601	ATR0994G011.1
GF04602	ATR1098G012.1
GF04603	ATR0796G251.1
GF04604	ATR0810G182.1
GF04605	ATR0088G018.1
GF04606	ATR0268G001.1
GF04607	ATR0620G159.1
GF04608	ATR0763G104.1
GF04609	ATR1159G007.1
GF04610	ATR0559G259.1
GF04611	ATR1159G074.1
GF04612	ATR0064G077.1
GF04613	ATR0618G383.1
GF04614	ATR0820G085.1
GF04615	ATR1113G001.1
GF04616	ATR0730G053.1
GF04617	ATR0917G001.1
GF04618	ATR0124G004.1
GF04619	ATR0737G055.1
GF04620	ATR0053G020.1
GF04621	ATR0787G101.1
GF04622	ATR0580G129.1
GF04623	ATR0782G104.1
GF04624	ATR0105G017.1
GF04625	ATR0716G076.1
GF04626	ATR0661G054.1
GF04627	ATR1100G032.1
GF04628	ATR0618G315.1
GF04629	ATR0661G245.1
GF04630	ATR0733G075.1
GF04631	ATR0724G024.1
GF04632	ATR0584G168.1
GF04633	ATR0665G443.1
GF04634	ATR0561G244.1
GF04635	ATR0763G176.1
GF04636	ATR0794G070.1
GF04637	ATR0787G038.1
GF04638	ATR0721G144.1
GF04639	ATR1093G024.1
GF04640	ATR1149G025.1
GF04641	ATR0691G288.1
GF04642	ATR0594G227.1
GF04643	ATR0609G063.1
GF04644	ATR0580G239.1
GF04645	ATR0691G280.1
GF04646	ATR0559G278.1
GF04647	ATR0810G268.1
GF04648	ATR0332G039.1
GF04649	ATR0824G269.1
GF04650	ATR0661G448.1
GF04651	ATR0322G075.1
GF04652	ATR0752G095.1
GF04653	ATR0171G014.1
GF04654	ATR0580G041.1
GF04655	ATR0598G109.1
GF04656	ATR0665G521.1
GF04657	ATR0568G155.1
GF04658	ATR0326G002.1
GF04659	ATR0626G234.1
GF04660	ATR0051G018.1
GF04661	ATR0561G137.1
GF04662	ATR0665G488.1
GF04663	ATR0709G024.1
GF04664	ATR0624G038.1
GF04665	ATR0804G058.1
GF04666	ATR0723G082.1
GF04667	ATR0602G060.1
GF04668	ATR0012G019.1
GF04669	ATR0332G114.1
GF04670	ATR0705G007.1
GF04671	ATR0815G006.1
GF04672	ATR0753G168.1
GF04673	ATR0626G188.1
GF04674	ATR1132G095.1
GF04675	ATR1101G008.1
GF04676	ATR0749G018.1
GF04677	ATR0789G152.1
GF04678	ATR0772G058.1
GF04679	ATR0739G040.1
GF04680	ATR0564G137.1
GF04681	ATR1134G045.1
GF04682	ATR0602G151.1
GF04683	ATR0579G160.1
GF04684	ATR0356G002.1
GF04685	ATR0582G120.1
GF04686	ATR0815G061.1
GF04687	ATR0559G267.1
GF04688	ATR0030G049.1
GF04689	ATR0693G272.1
GF04690	ATR0686G104.1
GF04691	ATR0009G023.1
GF04692	ATR0620G093.1
GF04693	ATR0605G381.1
GF04694	ATR0680G348.1
GF04695	ATR0665G399.1
GF04696	ATR0057G087.1
GF04697	ATR0589G069.1
GF04698	ATR0564G410.1
GF04699	ATR0736G030.1
GF04700	ATR0716G015.1
GF04701	ATR0188G035.1
GF04702	ATR1052G001.1
GF04703	ATR0037G041.1
GF04704	ATR1126G061.1
GF04705	ATR0730G090.1
GF04706	ATR0681G084.1
GF04707	ATR0564G399.1
GF04708	ATR0618G159.1
GF04709	ATR0605G230.1
GF04710	ATR1125G042.1
GF04711	ATR0152G013.1
GF04712	ATR1127G129.1
GF04713	ATR0661G243.1
GF04714	ATR0626G019.1
GF04715	ATR0064G022.1
GF04716	ATR1089G108.1
GF04717	ATR0624G109.1
GF04718	ATR0946G001.1
GF04719	ATR1093G030.1
GF04720	ATR0693G243.1
GF04721	ATR0559G183.1
GF04722	ATR0602G159.1
GF04723	ATR0053G062.1
GF04724	ATR0759G084.1
GF04725	ATR0767G123.1
GF04726	ATR0739G043.1
GF04727	ATR1098G043.1
GF04728	ATR0745G092.1
GF04729	ATR0307G002.1
GF04730	ATR0217G007.1
GF04731	ATR0796G196.1
GF04732	ATR0712G145.1
GF04733	ATR0624G036.1
GF04734	ATR1145G071.1
GF04735	ATR0829G192.1
GF04736	ATR0605G162.1
GF04737	ATR0559G370.1
GF04738	ATR0661G478.1
GF04739	ATR0743G262.1
GF04740	ATR0737G002.1
GF04741	ATR0001G011.1
GF04742	ATR0645G002.1
GF04743	ATR0579G126.1
GF04744	ATR0624G014.1
GF04745	ATR0751G150.1
GF04746	ATR0681G310.1
GF04747	ATR0037G001.1
GF04748	ATR0582G204.1
GF04749	ATR1096G037.1
GF04750	ATR0580G048.1
GF04751	ATR0723G035.1
GF04752	ATR0693G047.1
GF04753	ATR0804G034.1
GF04754	ATR1136G192.1
GF04755	ATR0088G019.1
GF04756	ATR0100G029.1
GF04757	ATR0037G042.1
GF04758	ATR0681G158.1
GF04759	ATR0367G001.1
GF04760	ATR0807G239.1
GF04761	ATR0165G002.1
GF04762	ATR0827G021.1
GF04763	ATR1136G216.1
GF04764	ATR0680G381.1
GF04765	ATR0048G009.1
GF04766	ATR0326G068.1
GF04767	ATR1132G004.1
GF04768	ATR0589G036.1
GF04769	ATR0180G008.1
GF04770	ATR0594G110.1
GF04771	ATR0105G030.1
GF04772	ATR0177G014.1
GF04773	ATR0602G090.1
GF04774	ATR0561G270.1
GF04775	ATR0716G029.1
GF04776	ATR0752G115.1
GF04777	ATR0807G008.1
GF04778	ATR0730G066.1
GF04779	ATR1098G081.1
GF04780	ATR0737G006.1
GF04781	ATR0763G175.1
GF04782	ATR0605G174.1
GF04783	ATR0680G231.1
GF04784	ATR0133G006.1
GF04785	ATR0630G004.1
GF04786	ATR0124G021.1
GF04787	ATR0807G196.1
GF04788	ATR0022G029.1
GF04789	ATR0693G288.1
GF04790	ATR0256G001.1
GF04791	ATR0215G026.1
GF04792	ATR0680G247.1
GF04793	ATR0733G022.1
GF04794	ATR0051G060.1
GF04795	ATR0092G002.1
GF04796	ATR0820G072.1
GF04797	ATR0743G039.1
GF04798	ATR0594G057.1
GF04799	ATR0752G234.1
GF04800	ATR0665G538.1
GF04801	ATR0705G087.1
GF04802	ATR0706G156.1
GF04803	ATR0752G141.1
GF04804	ATR0752G091.1
GF04805	ATR0686G095.1
GF04806	ATR0618G066.1
GF04807	ATR0559G284.1
GF04808	ATR0138G001.1
GF04809	ATR1158G007.1
GF04810	ATR0730G183.1
GF04811	ATR0329G071.1
GF04812	ATR0068G038.1
GF04813	ATR0737G030.1
GF04814	ATR1089G005.1
GF04815	ATR0579G073.1
GF04816	ATR0661G020.1
GF04817	ATR0626G129.1
GF04818	ATR0745G042.1
GF04819	ATR0315G085.1
GF04820	ATR0602G104.1
GF04821	ATR0782G101.1
GF04822	ATR0589G002.1
GF04823	ATR0686G227.1
GF04824	ATR0568G125.1
GF04825	ATR0730G009.1
GF04826	ATR0629G030.1
GF04827	ATR1156G062.1
GF04828	ATR0322G002.1
GF04829	ATR0829G196.1
GF04830	ATR0315G126.1
GF04831	ATR1098G117.1
GF04832	ATR0754G001.1
GF04833	ATR0743G114.1
GF04834	ATR0789G014.1
GF04835	ATR0582G337.1
GF04836	ATR0598G025.1
GF04837	ATR0753G061.1
GF04838	ATR1149G087.1
GF04839	ATR0579G162.1
GF04840	ATR0763G168.1
GF04841	ATR0012G049.1
GF04842	ATR0550G001.1
GF04843	ATR0326G036.1
GF04844	ATR1120G067.1
GF04845	ATR0752G193.1
GF04846	ATR0736G075.1
GF04847	ATR0178G008.1
GF04848	ATR0626G029.1
GF04849	ATR0150G001.1
GF04850	ATR1154G019.1
GF04851	ATR0829G139.1
GF04852	ATR0820G090.1
GF04853	ATR0626G306.1
GF04854	ATR0796G333.1
GF04855	ATR0001G032.1
GF04856	ATR0753G136.1
GF04857	ATR1096G030.1
GF04858	ATR0580G108.1
GF04859	ATR1132G058.1
GF04860	ATR1091G002.1
GF04861	ATR0582G207.1
GF04862	ATR0580G163.1
GF04863	ATR0307G095.1
GF04864	ATR0177G030.1
GF04865	ATR0057G058.1
GF04866	ATR0829G045.1
GF04867	ATR0661G564.1
GF04868	ATR0752G127.1
GF04869	ATR0332G009.1
GF04870	ATR1127G166.1
GF04871	ATR0693G052.1
GF04872	ATR0730G030.1
GF04873	ATR0580G030.1
GF04874	ATR1156G012.1
GF04875	ATR0620G101.1
GF04876	ATR0684G076.1
GF04877	ATR1125G028.1
GF04878	ATR0178G004.1
GF04879	ATR0743G053.1
GF04880	ATR0561G025.1
GF04881	ATR0030G019.1
GF04882	ATR0723G076.1
GF04883	ATR1128G094.1
GF04884	ATR0585G099.1
GF04885	ATR0073G004.1
GF04886	ATR0743G102.1
GF04887	ATR0329G036.1
GF04888	ATR0739G047.1
GF04889	ATR0661G252.1
GF04890	ATR1001G014.1
GF04891	ATR0691G226.1
GF04892	ATR0012G008.1
GF04893	ATR0800G100.1
GF04894	ATR1091G034.1
GF04895	ATR0225G010.1
GF04896	ATR0580G210.1
GF04897	ATR0829G163.1
GF04898	ATR0796G040.1
GF04899	ATR0178G032.1
GF04900	ATR0585G051.1
GF04901	ATR0776G087.1
GF04902	ATR0782G179.1
GF04903	ATR1125G073.1
GF04904	ATR1154G042.1
GF04905	ATR0686G208.1
GF04906	ATR0820G062.1
GF04907	ATR0815G002.1
GF04908	ATR1185G002.1
GF04909	ATR0057G081.1
GF04910	ATR0684G203.1
GF04911	ATR1091G089.1
GF04912	ATR0197G002.1
GF04913	ATR0099G034.1
GF04914	ATR0829G135.1
GF04915	ATR0794G067.1
GF04916	ATR0006G018.1
GF04917	ATR0329G001.1
GF04918	ATR0752G116.1
GF04919	ATR0723G041.1
GF04920	ATR0796G231.1
GF04921	ATR0559G198.1
GF04922	ATR0721G014.1
GF04923	ATR0757G048.1
GF04924	ATR0487G018.1
GF04925	ATR0322G071.1
GF04926	ATR0030G036.1
GF04927	ATR1128G085.1
GF04928	ATR0686G152.1
GF04929	ATR0068G103.1
GF04930	ATR0618G388.1
GF04931	ATR0782G075.1
GF04932	ATR0815G064.1
GF04933	ATR0815G023.1
GF04934	ATR0733G051.1
GF04935	ATR0820G052.1
GF04936	ATR0150G022.1
GF04937	ATR0261G001.1
GF04938	ATR1091G088.1
GF04939	ATR0807G089.1
GF04940	ATR0598G031.1
GF04941	ATR0640G001.1
GF04942	ATR0487G003.1
GF04943	ATR0582G087.1
GF04944	ATR0733G146.1
GF04945	ATR0097G031.1
GF04946	ATR0765G002.1
GF04947	ATR0807G074.1
GF04948	ATR0083G050.1
GF04949	ATR1133G028.1
GF04950	ATR0568G031.1
GF04951	ATR0099G043.1
GF04952	ATR0598G156.1
GF04953	ATR0994G013.1
GF04954	ATR0088G034.1
GF04955	ATR0730G235.1
GF04956	ATR1093G040.1
GF04957	ATR0807G243.1
GF04958	ATR0088G060.1
GF04959	ATR0559G025.1
GF04960	ATR0057G021.1
GF04961	ATR0138G003.1
GF04962	ATR0165G018.1
GF04963	ATR0749G009.1
GF04964	ATR0681G045.1
GF04965	ATR0605G320.1
GF04966	ATR0691G312.1
GF04967	ATR1153G010.1
GF04968	ATR0684G013.1
GF04969	ATR0088G010.1
GF04970	ATR1098G124.1
GF04971	ATR0066G001.1
GF04972	ATR0584G243.1
GF04973	ATR0099G040.1
GF04974	ATR1149G050.1
GF04975	ATR0691G293.1
GF04976	ATR0149G005.1
GF04977	ATR0705G014.1
GF04978	ATR0787G018.1
GF04979	ATR0598G219.1
GF04980	ATR0307G035.1
GF04981	ATR0759G068.1
GF04982	ATR1145G075.1
GF04983	ATR0598G178.1
GF04984	ATR0147G017.1
GF04985	ATR0705G058.1
GF04986	ATR1128G035.1
GF04987	ATR0661G388.1
GF04988	ATR0584G218.1
GF04989	ATR0144G010.1
GF04990	ATR0684G157.1
GF04991	ATR0174G042.1
GF04992	ATR0796G307.1
GF04993	ATR1100G055.1
GF04994	ATR0626G073.1
GF04995	ATR0763G151.1
GF04996	ATR0794G114.1
GF04997	ATR0368G001.1
GF04998	ATR1156G003.1
GF04999	ATR0794G119.1
GF05000	ATR0030G021.1
GF05001	ATR0753G089.1
GF05002	ATR0665G405.1
GF05003	ATR0712G033.1
GF05004	ATR0317G060.1
GF05005	ATR0078G011.1
GF05006	ATR0730G115.1
GF05007	ATR0705G139.1
GF05008	ATR0839G001.1
GF05009	ATR0810G215.1
GF05010	ATR0564G054.1
GF05011	ATR0824G188.1
GF05012	ATR0800G010.1
GF05013	ATR0078G013.1
GF05014	ATR0691G179.1
GF05015	ATR0322G072.1
GF05016	ATR0691G075.1
GF05017	ATR1153G087.1
GF05018	ATR0075G007.1
GF05019	ATR0772G179.1
GF05020	ATR1091G103.1
GF05021	ATR0594G161.1
GF05022	ATR0057G071.1
GF05023	ATR1153G086.1
GF05024	ATR0138G007.1
GF05025	ATR1153G113.1
GF05026	ATR0188G029.1
GF05027	ATR0762G016.1
GF05028	ATR0684G219.1
GF05029	ATR0693G329.1
GF05030	ATR1132G111.1
GF05031	ATR0584G120.1
GF05032	ATR1100G041.1
GF05033	ATR1088G031.1
GF05034	ATR0626G009.1
GF05035	ATR0697G017.1
GF05036	ATR0580G217.1
GF05037	ATR0767G115.1
GF05038	ATR1091G095.1
GF05039	ATR0026G047.1
GF05040	ATR0706G220.1
GF05041	ATR0605G154.1
GF05042	ATR0019G027.1
GF05043	ATR0721G172.1
GF05044	ATR0585G056.1
GF05045	ATR0804G084.1
GF05046	ATR0661G504.1
GF05047	ATR0992G009.1
GF05048	ATR0739G024.1
GF05049	ATR0582G340.1
GF05050	ATR0697G159.1
GF05051	ATR0594G141.1
GF05052	ATR0559G083.1
GF05053	ATR0564G418.1
GF05054	ATR1136G119.1
GF05055	ATR0767G099.1
GF05056	ATR0706G251.1
GF05057	ATR0564G143.1
GF05058	ATR0048G027.1
GF05059	ATR1132G052.1
GF05060	ATR0796G254.1
GF05061	ATR0152G007.1
GF05062	ATR0724G013.1
GF05063	ATR1020G001.1
GF05064	ATR0559G288.1
GF05065	ATR0594G082.1
GF05066	ATR0626G337.1
GF05067	ATR0064G111.1
GF05068	ATR0840G001.1
GF05069	ATR0602G288.1
GF05070	ATR0733G114.1
GF05071	ATR0057G037.1
GF05072	ATR0594G197.1
GF05073	ATR0307G028.1
GF05074	ATR0712G085.1
GF05075	ATR0171G039.1
GF05076	ATR0097G026.1
GF05077	ATR0149G015.1
GF05078	ATR0736G113.1
GF05079	ATR1158G042.1
